author_name	author_birth	author_death	Count
J	NA	NA	125
T	NA	1694	102
Josephus, Flavius	NA	NA	 82
W	NA	NA	 70
Eutropius	NA	NA	 69
R	NA	NA	 62
England And Wales	NA	NA	 58
A	NA	NA	 46
N	1689	NA	 38
Florus, Lucius Annaeus	NA	NA	 38
E	NA	NA	 36
M	NA	NA	 36
Livy	NA	NA	 36
S	NA	NA	 35
G	NA	NA	 33
Tacitus, Cornelius	NA	NA	 32
Person Of Quality	NA	NA	 32
H	NA	NA	 31
Ferguson, Robert	NA	1714	 28
P	NA	NA	 27
Douglas, Eleanor	NA	1652	 26
I	NA	NA	 24
C	NA	1709	 23
Campbell, John	NA	1775	 21
Suetonius	NA	NA	 19
Lucan	NA	NA	 18
Evans, Arise	1607	NA	 17
Freeholder	NA	NA	 17
F	NA	NA	 17
L	NA	1680	 16
B	1645	NA	 16
Mervyn, Audley	NA	1675	 15
Fourcroy	NA	NA	 15
Gordon, Thomas	NA	1750	 15
Polybius	NA	NA	 15
Xenophon	NA	NA	 15
Price, John	NA	NA	 14
D	NA	1652	 14
Horace	NA	NA	 14
Massie, J	NA	1784	 13
Herodian	NA	NA	 13
Curry, John	NA	1780	 13
Englishman	NA	NA	 12
Overton, Richard	1646	NA	 11
Walker, Henry	1643	NA	 11
Saltmarsh, John	NA	1647	 11
Morgan, Thomas	NA	1679	 10
Jackson, Charles	NA	NA	 10
Dilworth, W H	NA	NA	 10
Lewis, John	NA	1747	 10
Collyer, Mary	NA	1763	 10
Price, Joseph	1749	NA	 10
Ridpath, George	NA	1726	 10
Hornby, Charles	NA	1739	  9
Grafton, Richard	NA	1572	  9
Monipennie, John	NA	NA	  9
Lover Of His Country	NA	NA	  9
Curtius Rufus, Quintus	NA	NA	  9
Lefèvre, Raoul	1460	NA	  9
Heywood, Thomas	NA	1641	  9
Ocland, Christopher	NA	1590	  9
Bede	NA	NA	  9
Thucydides	NA	NA	  9
Junius	NA	NA	  9
Weld, Matthew	NA	NA	  9
Crouch, Henry	NA	1732	  9
Hereford, Charles John Ann	1758	NA	  9
Smith, William	NA	NA	  9
Shaveblock, Pasquin	NA	NA	  9
Philalethes	NA	NA	  9
Stevens, John	NA	1726	  9
Rathbun, Valentine	1724	NA	  8
Hotham, John	NA	1645	  8
Peirce, Edmund	NA	1667	  8
Borlase, Edmund	NA	1682	  8
Whitlocke, Bulstrode	1676	NA	  8
Barbour, John	NA	1395	  8
Melancholicus, Mercurius	1648	NA	  8
Member Of Parliament	NA	NA	  8
Manley, Delariviere	NA	NA	  8
Fleetwood, John	NA	NA	  8
Easton, James	NA	NA	  8
Manning, Robert	NA	1731	  8
Seton, William	NA	1744	  8
Exquemelin, A O	NA	NA	  8
Justinus, Marcus Junianus	NA	NA	  8
Bicheno, J	NA	1831	  7
Comerford, T	NA	NA	  7
Church Of England	NA	NA	  7
Reilly, Hugh	NA	1695	  7
Barlow, William	NA	1613	  7
Spittlehouse, John	NA	NA	  7
Pudsey, George	1664	NA	  7
Hesilrige, Arthur	NA	1661	  7
Giraffi, Alessandro	NA	NA	  7
Cook, John	NA	1660	  7
Capriata, Pier Giovanni	NA	NA	  7
Eusebius	NA	NA	  7
Gatford, Lionel	NA	1665	  7
Coke, Roger	1696	NA	  7
Bernard, Nicholas	NA	1661	  7
Buckingham, John Sheffield	1721	NA	  7
Ancell, Samuel	NA	1802	  7
Clergyman Of The Church Of England	NA	NA	  7
Friend To The People	NA	NA	  7
True Lover Of The People	NA	NA	  7
Brockwell, Charles	NA	NA	  6
Observateur Impartial	NA	NA	  6
Cicero, Marcus Tullius	NA	NA	  6
Officer	NA	NA	  6
Jefferys, Thomas	NA	1771	  6
Alexander, William	NA	1783	  6
Fabyan, Robert	NA	1513	  6
Skinner, John	1624	NA	  6
Freize, James	NA	NA	  6
Joyce, George	1647	NA	  6
Lawson, John	NA	1665	  6
Monro, Alexander	NA	1715	  6
Theocritus	NA	NA	  6
Atwood, William	NA	1705	  6
Arwaker, Edmund	NA	1730	  6
Friend, John	NA	1696	  6
Hearty Lover Of His Prince And Country	NA	NA	  6
Whetcombe, Tristram	NA	NA	  6
Clement	NA	NA	  6
True Lover Of His Country	NA	NA	  6
Appianus	NA	NA	  6
Sailor	NA	NA	  6
Shipton	NA	NA	  6
Villedieu	NA	1683	  6
Wilbee, Amon	NA	NA	  6
Herodotus	NA	NA	  6
Anderson, Aeneas	NA	NA	  6
Ferrar, John	1743	NA	  6
Cockings, George	NA	1802	  6
Winer, Robert	NA	NA	  6
Citizen	NA	NA	  6
Gentleman	NA	NA	  6
Frowde, Philip	NA	1738	  6
Crull, J	NA	1713	  6
Smith, Matthew	1696	NA	  6
Wallace, James	NA	1688	  6
Free, John	1712	NA	  6
American	NA	NA	  6
Private Gentleman	NA	NA	  6
Agricola	NA	NA	  5
Button, Edward	NA	NA	  5
Goupil, Pierre étienne Auguste	NA	NA	  5
Rimius, Henry	NA	1757	  5
Holinshed, Raphael	NA	1580	  5
Ker, George	NA	NA	  5
Impartial Hand	NA	NA	  5
Millington, Edward	NA	1703	  5
Bray, William	NA	NA	  5
Winstanley, Gerrard	1609	NA	  5
Corbet, Roger	NA	NA	  5
Sheppard, S	NA	NA	  5
Laugharne, Rowland	NA	1676	  5
Chamberlen, Hugh	1720	NA	  5
Gildas	 516	NA	  5
Person In Command In The Fleet	NA	NA	  5
Broughton, Richard	NA	NA	  5
Sparke, Michael	NA	1653	  5
Beech, William	NA	NA	  5
Dauncey, John	1663	NA	  5
Batten, William	NA	1667	  5
Musgrave, John	1654	NA	  5
Briscoe, John	1695	NA	  5
Story, George Warter	NA	1721	  5
Gentleman In The Country	NA	NA	  5
Ball, William	NA	NA	  5
Smith, William	NA	1673	  5
Langhorne, Daniel	NA	1681	  5
Loftus, Edward	NA	NA	  5
Cole, Robert	NA	NA	  5
Lobb, Stephen	NA	1699	  5
Bishop, George	NA	1668	  5
Harris, John	NA	NA	  5
Gray, William	1649	NA	  5
Irishman	NA	NA	  5
Allen, Charles	NA	1793	  5
Fortune, T	NA	NA	  5
Rudd, Pemberton	NA	NA	  5
Chauvet, D	NA	NA	  5
Hodges, James	NA	NA	  5
Member Of The House Of Commons	NA	NA	  5
Lord Knows Who	NA	NA	  5
Midon, Francis	NA	NA	  5
Caldwell, James	NA	1784	  5
Clarke, Samuel	1721	NA	  4
Son Of Liberty	NA	NA	  4
Virgil	NA	NA	  4
One Who Is Neither A Knight Nor A Member Of The House Of Commons	NA	NA	  4
Colliber, Samuel	NA	NA	  4
Spencer, Joshua	NA	NA	  4
Countryman	NA	NA	  4
Ralph, James	NA	1762	  4
Workman, James	NA	1832	  4
Porter, John	NA	NA	  4
D'angerville, Mouffle	NA	1794	  4
Trant, Dominick	NA	NA	  4
Freeman Of Dublin	NA	NA	  4
Hooper, Jacob	NA	NA	  4
Victor, Benjamin	NA	1778	  4
Scrafton, Luke	NA	NA	  4
Marshall, Nathaniel	NA	1730	  4
Koops, Matthias	NA	NA	  4
Clarke, Thomas Brooke	NA	NA	  4
Tittler	NA	NA	  4
Craufurd, George	NA	NA	  4
Carliell, Robert	NA	1622	  4
Hall, Edward	NA	1547	  4
Clapham, Henoch	NA	NA	  4
Hurault, Michel	NA	1592	  4
Hubert, Francis	NA	1629	  4
Ireland	NA	NA	  4
England, Corporation	NA	NA	  4
Eyre, William	NA	NA	  4
Phillippes, Henry	NA	1677	  4
Campion, Robert	NA	NA	  4
Bower, Richard	1662	NA	  4
Chidley, Samuel	NA	NA	  4
Rosse, William	NA	NA	  4
Whalley, Edward	NA	1675	  4
White, Francis	NA	1657	  4
Symmons, Edward	NA	NA	  4
Osborne, Richard	1648	NA	  4
Norwood, Robert	NA	NA	  4
Mossom, Robert	NA	1679	  4
Leach, William	NA	NA	  4
Rishton, Robert	NA	NA	  4
Poyntz, Sydenham	NA	NA	  4
Cerdan, Jean-paul	NA	NA	  4
Houlbrook, William	NA	NA	  4
Tertullian	NA	NA	  4
Carr, William	NA	NA	  4
Collier, Thomas	1691	NA	  4
Vaughan, Rice	NA	NA	  4
Moore, Thomas	NA	NA	  4
J	1640	NA	  4
Presbyter, John	NA	NA	  4
Hennepin, Louis	NA	NA	  4
Brydall, John	1635	NA	  4
Palladius	NA	NA	  4
Gand, Louis De	NA	NA	  4
Hickman, Henry	NA	1692	  4
Williams, Edward	1650	NA	  4
Lover Of Peace And Truth	NA	NA	  4
Barkstead, John	NA	1662	  4
Kingston, Richard	1635	NA	  4
Hammond, Charles	NA	NA	  4
Cooper, Andrew	1660	NA	  4
Thompson, Nathaniel	NA	1687	  4
Smith, John	NA	1631	  4
Braddon, Laurence	NA	1724	  4
Fullwood, Francis	NA	1693	  4
Lover Of Truth	NA	NA	  4
Robinson, William	NA	NA	  4
Cyprian, Bishop Of Carthage	NA	NA	  4
Philo caledon	NA	NA	  4
Carter, Matthew	1660	NA	  4
Ashe, John	NA	NA	  4
Philipot, Thomas	NA	1682	  4
Fannant, Thomas	NA	NA	  4
Saintliger, W	NA	1642	  4
Caradoc	NA	1147	  4
Everard, Edmund	NA	NA	  4
Citizen Of London	NA	NA	  4
Ram, Robert	NA	1657	  4
Member Of Royal Arch	NA	NA	  4
Russel, William Augustus	NA	NA	  4
Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī	NA	NA	  4
Crosfeild, Robert	NA	NA	  4
Raymond, George Frederick	NA	NA	  4
Hampden	NA	NA	  4
Luckombe, Philip	NA	1803	  4
Calet, Jean Jacques	NA	NA	  4
O'dogherty, William	NA	NA	  4
Gentleman That Was Near His Person For Many Years	NA	NA	  4
Coade, G	NA	NA	  4
Layman Of Conscience And Common Sense	NA	NA	  4
Isocrates	NA	NA	  4
Warrington, William	NA	NA	  4
Person Of Honour	NA	NA	  4
Moore, George	NA	NA	  4
Herrera Y Tordesillas, Antonio De	NA	1625	  4
Bollan, William	NA	1776	  4
Fowler, Benjamin	NA	NA	  3
Casca	NA	NA	  3
Pollen, Thomas	NA	1768	  3
Grey, Isaac	NA	NA	  3
Well Wisher	NA	NA	  3
Brutus	NA	NA	  3
Camillus	NA	NA	  3
Fisk, Joseph	1701	NA	  3
Leacock, John	NA	NA	  3
Cato	NA	NA	  3
Dionysius	NA	NA	  3
Justin	NA	NA	  3
Minucius Felix, Marcus	NA	NA	  3
Dalrymple, James	1714	NA	  3
Schwan, Christian Friedrich	NA	NA	  3
La Motte, Yves-joseph	NA	NA	  3
Lysias	NA	NA	  3
Themistocles	NA	NA	  3
Seacome, John	NA	NA	  3
