original	polished	Count
Total count: 	35441	
printed by John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	sumptibus theodori veridici	133
Printed by John Dunlap	london boston new-england green russell their printing-office near custom-house next writing-school queen-street	131
printed in the year	morphew near stationers-hall	111
printed for Edward Husband, printer to the Honorable House of Commons	w rogers abel roper fleet-street harris nicholson little-britain newborough st paul's church-yard cockerill pater-noster-row	102
printed by Robert Barker, printer to the Kings most Excellent Majestie: and by the assignes of John Bill	i vnderwood	101
printed by John Field, printer to the Parliament of England	marke walbane	 95
Printed in the year	morphew near stationers-hall	 95
In the Savoy, printed by the assigns of John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	e mallet black horse-alley fleet-street near fleet-bridge	 90
Printed by Benjamin Edes	peter parent	 85
printed by John Bill and Christopher Barker, printers to the Kings most excellent Majesty	sumptibus theodori veridici	 83
printed for the author	r baldwin pater-noster-row	 79
Printed by John Carter	london peele mdccxxxiii boston s kneeland green queen-street	 72
printed by Andrew Crooke, Printer to the King's Most Excellent Majesty, at the King's-Arms in Copper-Alley	r halsey plough harrow near st michael's church cornhill morphew near stationers-hall	 65
printed by Benjamin Tooke, printer to the Kings most Excellent Majesty, and are to be sold by Samuel Dancer book-seller in Castle-street	fancis smith flying-horse-court fleet street near chancery lane end	 59
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the Kings most excellent Majesty	assigns his majesty's henry hills deceased	 56
printed for T. Cadell, in the Strand	wilkie st paul's church-yard frier bible bell-yard temple-bar	 52
printed by Richard Cotes	eg	 46
printed by the assigns of John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	information advice benefit poore oppressed betrayed almost destroyed commons england	 45
printed for Edward Husbands	john macock seile are be george sawbridge martyn williams place e brewster starkey basset r horne h brome wright r chiswell r boulter b took	 45
printed by the assigns of John Bill and Christopher Barker, printers to the Kings most excellent Majesty	information advice benefit poore oppressed betrayed almost destroyed commons england	 45
Printed by John Holt	worcester massachusetts isaiah thomas his book-store	 43
printed by Edward Husband and John Field, printers to the Parliament of England	vaeneunt richardum wodenothe vico vulgò vocato leaden-hall-street	 43
printed by George Grierson, printer to the King's Most Excellent Majesty, at the King's Arms and Two Bibles in Essex-Street	r faulder new bond street cooper graham wild court lincoln's-inn fields	 42
printed by George Grierson	c say author cook	 40
printed by Charles Bill and Thomas Newcomb, printers to the King and Queens most Excellent Majesties	john wright old baily	 39
Printed by Edw. Jones in the Savoy	william burton st john's-lane richard chandler flower-de-luce without temple-bar caesar ward ship fleet-street james roberts oxford-arms warwick-lane most booksellers town country	 38
Printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Queens Most Excellent Majesty	chantry sign lincolns-inn-square lincolns-inn back-gate ben bragg raven pater-noster row	 37
printed for J. Wright	wright	 37
printed by Robert Barker, printer to the Kings most excellent Majestie: and by the assignes of John Bill	i vnderwood	 36
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the King and Queens most Excellent Majesties	ryder	 35
printed by Henry Hills and John Field, printers to His Highness	john spicer	 35
Printed by William Ross?	london mdcci edinburgh mdccxcii boston adams larkin court-street	 34
printed by Andrew Crook, printer to the Queen's most excellent Majesty, on the Blind-Key	gg robinson paternoster-row	 34
printed by Charles Bill and Thomas Newcomb, printers to the King and Queen's most Excellent Majesties	first edinburgh evan tyler kings most excellent majesty now london edw husbands	 34
printed by John Bill, Christopher Barker, Thomas Newcomb, and Henry Hills, printers to the Kings most excellent Majesty	benjamin allen	 34
printed for Joseph Hunscott	rw	 34
printed for George Horton	iohn redmayne lovels court pater-noster-rowe	 34
Printed by Francis Bailey	d fowle next prison queen-street	 33
by Robert Barker, printer to the Kings most Excellent Majestie: and by the assignes of John Bill	w bowyer brab aylmer three pigeons cornhil char brome gun west-end st paul's church-yard	 33
printed by Charles Bill and Thomas Newcomb, printers to the King and Queens most excellent Majesties	john wright old baily	 33
printed for John Thomas	francis neile aldersgate-street	 33
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Queens most excellent Majesty	chantry sign lincolns-inn-square lincolns-inn back-gate ben bragg raven pater-noster row	 33
Printed by Hudson and Goodwin	manning loring author	 32
Printed by Childs and Swaine	lately publish'd london boston ne d fowle ann-street z fowle middle-street	 32
for John Wright at the Kings Head in the old Bayley	tho willet	 32
by Leonard Lichfield, printer to the University	timothy johnson charing-cross	 32
printed by Evan Tyler, printer to the Kings most Excellent Majesty	walter kettilby bishop's head st paul's church-yard	 32
printed by Leonard Lichfield, printer to the Vniversity	henry hills	 32
Printed for the author	r baldwin pater-noster-row	 32
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Kings most Excellent Majesty	assigns his majesty's henry hills deceased	 32
