location,unified_form,url,location
Abbey-Street,,,
Aberdeen,,,
Addison's Head,,,
Addison's-Head,,,
Adelphi,,,
Adermary Church Yard,,,
Admiralty,,,
Admiralty-Office,,,
aforesaid theatre,,,
Aldermanbury,,,
Aldermary church yard,,,
Aldermary Church Yard,,,
Aldermary church-yard,,,
Aldermary Church-Yard,,,
Aldersgate Street,,,
Aldersgate-Street,,,
all and pamphlet-shops,,,
all pamphlet-shops,,,
Amen-Corner,,,
Amsterdam,,,
Anderton's Coffee House,,,
Anderton's Coffee-House,,,
Angel,,,
Angel and Bible,,,
Angel and Crown,,,
Anne-Street,,,
Anodyne Necklace,,,
Anti-Jacobin Press,,,
Apollo,,,
Appollo Circulating Library,,,
Architectural Library,,,
Arundel Street,,,
Arundel-Street,,,
Atlas,,,
Ave Maria Lane,,,
Ave-Maria Lane,,,
Ave-Maria-Lane,,,
Ave-Mary Lane,,,
Ave-Mary-Lane,,,
Avemary Lane,,,
Avemary-Lane,,,
Aylesbury,,,
Back-lane,,,
Baltimore,,,
Banbury,,,
Barnard's-Inn,,,
Bartholomew-Close,,,
Bartholomew-Close',,,
Bartholomew-Lane,,,
Bath,,,
Bear,,,
Beaufort-Buildings,,,
Bell Yard,,,
Bell-Yard,,,
Bernard's-Inn-Gate,,,
Berwick Street,,,
Berwick-Street,,,
Bible,,,
Bible and Anchor,,,
Bible and Ball,,,
Bible and Cross Keys,,,
Bible and Crown,,,
Bible and Heart,,,
Bible and Ink-Bottle,,,
Bible and Key,,,
Bible and Star,,,
Bible and Sun,,,
Bible and Three Crowns,,,
Bible and Three-Crowns,,,
Bible-And-Crown,,,
Bible-Warehouse,,,
Bible-warehouse,,,
Billericay,,,
Birchin-Lane,,,
Birmingham,,,
Bishop's Head,,,
Bishopsgate-Street,,,
Black and White Court,,,
Black Boy,,,
Black Boy and Anchor,,,
Black Bull,,,
Black Pull,,,
Black Raven,,,
Black Spread Eagle,,,
Black Swan,,,
black swan,,,
Black Swan and Bible,,,
Black-Boy,,,
Black-Boy-Alley,,,
Black-Bull,,,
Black-Friars Bridge,,,
Black-Fryars,,,
Black-fryars,,,
Black-Fryers,,,
Black-Raven,,,
Black-Swan,,,
Blackfriars,,,
Blackfriers,,,
Blackfryars,,,
Blakestreet,,,
Blew Anchor,,,
Blind Quay,,,
Blind-Kay,,,
Blind-Quay,,,
Blue Anchor,,,
Blue Ball,,,
Blue-Ball,,,
Blundell,,,
Bond Street,,,
Bond-Street,,,
Book Ware-House,,,
Borough,,,
Bow Church yard,,,
Bow Church Yard,,,
Bow church yard,,,
Bow church-yard,,,
Bow Church-yard,,,
Bow Lane,,,
Bow-church yard,,,
Bow-Church yard,,,
Bow-Church-Yard,,,
Bow-church-yard,,,
Bow-Lane,,,
Bread-Street,,,
Bride street,,,
Bride-Lane,,,
Bride-Street,,,
Bride's-Alley,,,
Bridge-Parade,,,
Bridge-Street,,,
Bridlesmith Gate,,,
Brighthelmstone,,,
Bristol,,,
Britannia Printing-Office,,,
British Library,,,
Broad-Street,,,
Brydges-Street,,,
Buchanan's Head,,,
Buchanan's-Head,,,
Buck,,,
Buck and Sun,,,
Buckingham-Street,,,
Bucklersbury,,,
Bull-Ring,,,
Burlington House,,,
Burlington-House,,,
Burlington-Huse,,,
Burton-Stseet,,,
Bury,,,
Cambridge,,,
Cambridgeshire,,,
Canterbury,,,
Capel-Street,,,
Capel-Street.,,,
Caple-Street,,,
Carlisle Bridge,,,
Carlisle-Bridge,,,
Carlton House,,,
Castle Street,,,
Castle-Alley,,,
Castle-Green,,,
Castle-Lane,,,
Castle-Market,,,
Castle-Street,,,
Catharine Street,,,
Catharine-Street,,,
Catherine Street,,,
Catherine-Street,,,
Cavendish-Square,,,
Cavendish-Street,,,
Chancery-Lane,,,
Chancery-lane,,,
Chandos-Street,,,
Chapel,,,
Chapter-House,,,
Char Genre,,,
Charing Cross,,,
Charing-Cross,,,
Charity-School,,,
Charles-Street,,,
Charles-town,,,
Charlton,,,
Chcap-Side,Cheapside Street,https://mapoflondon.uvic.ca/CHEA2.htm,London
Cheap-Street,Cheapside Street,https://mapoflondon.uvic.ca/CHEA2.htm,London
Cheapside,Cheapside Street,https://mapoflondon.uvic.ca/CHEA2.htm,London
Chelmsford,,,
Chesham,,,
Chester,,,
Chesterfield,,,
Chiswell street,,,
Chiswell-Street,,,
Christ Church-Lane,,,
Christ-Church-Lane,,,
Church,,,
Cicero's Head,,,
Circulating Library,,,
Circulating-Library,,,
city and county of York,,,
City Road,,,
City-Road,,,
Clare-Court,,,
Clerkenwell,,,
Clerkenwell-Close,,,
Cleveland-Row,,,
Cliffords-Inn Lane,,,
Cock and Swine,,,
Cockey-Lane,,,
Coffee-Yard,,,
Coghill's-Court,,,
College,,,
College-Gate,,,
College-Geern,,,
College-Grates,,,
College-Green,,,
Coney-street,,,
Convocation-House,,,
Copper-Alley,,,
Copper-Alley,,,
Cork-Hill,,,
Cornhil,,,
Cornhill,,,
Correct State Lottery-Office,,,
County of Derby,,,
Courier press,,,
Covent Garden,,,
Covent-Garden,,,
Coventry,,,
Cow-Lane,,,
Cowley's Head',,,
Cowley's-Head,,,
Craig's Court,,,
Craig's-Court,,,
Crane Court,,,
Crane-Court,,,
Crane-Lane,,,
Cree-Church-Lane,,,
Cripplegate,,,
Crispin-Street,,,
Crose,,,
Cross,,,
Cross Keys,,,
Cross-Keys,,,
Cross-Keys and Bible,,,
Crown,,,
Crown and Mitre,,,
Crown Court,,,
Crown-Tavern,,,
Curzon-Street,,,
Dame -Street,,,
Dame-Street,,,
Dame-street,,,
Dame's-Street,,,
Dames-Street,,,
Darby,,,
Dean-Street,,,
Derby,,,
Dereham,,,
Devereux-Court,,,
Dial and Bible,,,
Dick's Coffee-House,,,
Dick's Coffee-House,,,
Ditch-side,,,
Dock-Head,,,
Dogwell-Court,,,
Dolphin,,,
Dolphin and Crown,,,
Dorset-Street,,,
Dorsetshire,,,
Dove,,,
Dove and Bible,,,
Downham,,,
Dr Cullen's Head,,,
Dr. Garth's Head,,,
Dramatic Repository,,,
Drary Lane,,,
Docking,,,
Drotwitch,,,
Drury Lane,,,
Drury-Lane,,,
Drury-Lane.,,,
Dryden's Head,,,
Dublin,,,
Duck-Lane,,,
Dudley,,,
Duke-Street,,,
Duke's Court,,,
Duke's-Court,,,
Dunciad,,,
Dundee,,,
Dutchess's Head,,,
East-End of New Church,,,
Ediburgh,,,
Edinbrugh,,,
Edinburgh,,,
Edinburgh Lying-in Hospital,,,
Elephant and Castle,,,
Ellesmere,,,
Elzevir's-Head,,,
End of Flower-de-Luce-Court,,,
End of Pope's Head Alley,,,
England,,,
Erasmus's-Head,,,
Essex-Street,,,
Essex-street,,,
Europe,,,
Exchange,,,
Exchange Alley,,,
Exchange-Alley,,,
Exeter,,,
Exeter Change,,,
Exeter-Change,,,
Exeter-Exchange,,,
Fakenham,,,
Fanchurch-Street,,,
Farnham,,,
Faulkner's-Head,,,
Feathers,,,
Feathers Tavern.,,,
Fenchurch-Street,,,
Fetter Lane,,,
Fetter lane,,,
Fetter-Lane,,,
Fetter-Lane,,,
Finch Lane,,,
Finch-Lane,,,
Finsbury square,,,
Finsbury-Place,,,
Finsbury-Square,,,
Fish shamble street,,,
Fish-market,,,
Fishamble Street,,,
Fishamble-street,,,
Fleece-Tavern,,,
Fleet Street,,,
Fleet street,,,
Fleet-Lane,,,
Fleet-Street,,,
Fleet-street,,,
Fleetstreet,,,
Flower-de-Luce,,,
Flower-de-Luce Court,,,
Fore-Street,,,
Foundery,,,
Foundry,,,
Four Courts,,,
Fowner's-street,,,
Fuller's Rents,,,
Gainsbrough,,,
Garrick's Head,,,
Garrick's-Head,,,
General Post-Office,,,
George Yard,,,
George-Street,,,
George-Yard,,,
George's-court,,,
George's-Lane,,,
Germain-Street,,,
Gerrard-Street,,,
Glasgow,,,
Globe,,,
Glocester,,,
Gloucester,,,
Gold Ring,,,
Golden Anchor,,,
Golden Ball,,,
Golden Bible,,,
Golden Buck,,,
Golden Flower-de-Luce,,,
Golden Head,,,
Golden Key,,,
Golden Lion,,,
Golden Lyon,,,
Golden-Ball,,,
Golden-Lion,,,
Golden-Square,,,
Goodman's Fields,,,
Goodman's-Fields,,,
Gosport,,,
Grace-Church Street,,,
Grace-Church-Street,,,
Gracechurch-Street,,,
Gracious-street,,,
Grafton-Street,,,
Grafton-Street.,,,
Gray's Inn,Gray's Inn,https://mapoflondon.uvic.ca/GRAY1.htm,London
Gray's Inn Gate,,,
Gray's Inn-Gate,,,
Gray's-Inn,Gray's Inn,https://mapoflondon.uvic.ca/GRAY1.htm,London
Gray's-Inn Gate,,,
Gray's-Inn-Gate,,,
Grays-Inn,Gray's Inn,https://mapoflondon.uvic.ca/GRAY1.htm,London
Grays-Inn Gate,,,
Grays-Inn Lane,,,
Grays-Inn-Gate,,,
Grays-Inn-Lane,Gray’s Inn Road,https://mapoflondon.uvic.ca/GRAY2.htm,London
Great Britain,,,
Great Britain-Street,,,
Great George-Street,,,
Great George's-Street,,,
Great Piazza,,,
Great Prescot-Street,,,
Great Queen-Street,,,
Great Russel-Street,,,
Great Turnstile,,,
Great Wylde-Street,,,
Great-Britain,,,
Great-Britian,,,
Great-Russel-Street,,,
Great-Turnstile,,,
Green Door,,,
Green-Dragon,,,
Greville Street,,,
Grosvenor-Square,,,
Gt. Strand-Street,,,
Guildford,,,
Guiltspur Street,,,
Half Moon,,,
Half-Moon,,,
Half-moon,,,
hand and pen,,,
Hand and Star,,,
Harp and Hautboy,,,
Harrogate,,,
Hat and Star,,,
Hatton-Garden,,,
Hay-Market,,,
Head of Serge-Market,,,
her house,,,
