publication.year	publication.title	document.pages.original	document.pages.total
1608	Rerum Bohemicarum antiqui scriptores aliquot insignes, partim hactenus incogniti ..	4 v. ;	NA
1609	Obseruations vpon Cæsars Comentaries	[No pagination provided] ;	NA
1609	Obseruations vpon Cæsars Comentaries. By Clement Edmundes, Remembrancer of the cittie of London	[No pagination provided] ;	NA
1634	Histoire genealogique de la maison des Chasteigners ... Seigneurs de la Chesteigneraye ..	? p. ;	NA
1649	Historia Francorum Scriptores coaetanei, ab upsius gentis origine ad R. Philippi IV tempora	? p. ;	NA
1654	Observations historical, political, and philosophical, upon Aristotles first Book of political government	11 v. ;	NA
1654	The Weekly abstract	3 v. ;	NA
1655	A collection of all the proclamations, declarations, articles and ordinances, passed by His Highness the Lord Protector, and his Council	63 parts ;	NA
1657	Biblia sacra polyglotta	6 v. :	2096 p.
1660	An Act for the confirming and restoring of ministers	[fewer than 50 pages] ;	NA
1660	The monethly intelligencer	1 v. ;	NA
1667	The city mercury: or, A certificate of rates from London to the country	v. ;	NA
1670	The London mercury	2 v. ;	NA
1676	Catalogus librorum in regionibus transmarinis nuper editorum	10 v. ;	NA
1679	The Domestick intelligence, or, News both from city & country	4 v. ;	NA
1679	The Snotty-nose gazette: or, Coughing intelligence	1 v. ;	NA
1679	The Weekly intelligence	1 v. ;	NA
1680	Mercurius librarius, or, A faithful account of all books and pamphlets ..	3 v. ;	NA
1680	Poor Robbins Intelligence, newly revived	v. ;	NA
1680	The Rotterdam's courant	v. ;	NA
1680	The True domestick intelligence, or, News both from city & country	v. ;	NA
1681	A New dialogue between some body and no body, or The Observator observed	5 v. ;	NA
1681	A New dialogue between somebody & nobody. Or The Observator and Heraclitus observed	3 v. ;	NA
1681	Mercurius anglicus	3 v. ;	NA
1681	The Protestant observator: or, Democritus flens in a dialogue	10 v. ;	NA
1681	The Universal intelligence	v. ;	NA
1681	The Weekly discoverer strip'd naked: or, Jest and Earnest expos'd to publick view in his proper colours	6 v. ;	NA
1681	The Weekly discovery of the mystery of iniquity	30 v. ;	NA
1681	The Weekly discovery of the mystery of iniquity	4 v. ;	NA
1681	The weekly pacquet of advice from Geneva. Or, The history of the reformation	2 v. ;	NA
1681	Votes of the House of Commons, at Oxford	5 v. ;	NA
1682	L'etat present de l'Europe	5 v. ;	NA
1682	Roger L'Estrange his observators	v. ;	NA
1682	The Compleat mercury: or, The Haerlem courant	3 v. ;	NA
1682	The Monthly recorder, of all true occurrences both foreign & domestick	5 v. ;	NA
1683	An account of the proceedings on the King's Commissions of the Peace	v. ;	NA
1683	The English Guzman: or, Captain Hiltons memoirs	2 v.	NA
1687	The Turkish history	2 v. :	NA
1688	Poor Robins publick and private occurances, and remarks vvritten for the sake of merriment, and harmless recreation	v. ;	NA
1689	A Continuation of news from that part of His Majesties fleet	3 v. ;	NA
1689	A dialogue between two friends concerning the present revolution	2 v. ;	NA
1689	News from the fleet	1 v. ;	NA
1689	The Roman post-boy: or Weekly account from Rome	1 v. ;	NA
1689	The True Protestant mercury: or, An impartial history of the times	1 v. ;	NA
1689	The geographical intelligence	1 v. ;	NA
1690	A continuation of the proceedings of the Parliament in Scotland	47 v. ;	NA
1690	Dublin intelligence	152 v. ;	NA
1690	The Coffee-house mercury	3 v. ;	NA
1690	The Dublin gazette	v. :	NA
1690	The True Protestant mercury	9 v. ;	NA
1690	The Weekly lampoon: or, Satyrical reflections	1 v. ;	NA
1690	The weekly pacquet of advice from Ireland	2 v. ;	NA
1691	A Continuation of a catalogue of ladies	v. ;	NA
1691	Poor Robin's intelligence, or, News from city and country	2 v. ;	NA
1692	Hibernia anglicana, or, The history of Ireland from the conquest thereof by the English to this present time	2 v. : :	NA
1693	Minuts of the proceedings in Parliament	23 v. ;	NA
1693	The Ladies mercury	4 v. ;	NA
1693	The Proceedings of the Parliament of Scotland	3 v. ;	NA
1694	The news-expositour	1 v. ;	NA
1695	The flying-post from Paris and Amsterdam	53 v. ;	NA
1695	The post boy, foreign and domestick	2 v. ;	NA
1696	The old post-master	v. ;	NA
1697	Proctor's Price-courant	v. :	NA
1697	Some seasonable queries in relation to the state upon the following heads	3 v. ;	NA
1697	The foreign post	v. ;	NA
1698	Minuts of the proceedings in Parliament	21 v. ;	NA
1698	The Foreign post. Or, Historical narrative	v. ;	NA
1700	Minuts of the proceedings in Parliament	4 v. ;	NA
1700	S. Cæcilii] Cypriani Opera recognita & illustrata a Joanne Fello, [Oxoniensi episcopo.	[No pagination provided] ;	NA
1700	The Dutch prophet, or The Devil of a conjurer	1 v. :bill. ;	NA
1700	The Turkish history, from the original of that nation, to the growth of the Ottoman empire	2 v. :	NA
1700	The Weekly entertainment	3 v. ;	NA
1700	Votes of the House of Commons, in the Parliament begun at Westminster[.	v. ;	NA
1701	Annotations upon the Holy Bible	2v. ;	NA
1701	Great doubts and difficulties	v. ;	NA
1701	Minuts of the proceedings in Parliament	57 v. ;	NA
1702	The Dublin intelligence	13 v. ;	NA
1702	The London spy	18 v. ;	NA
1702	The Secret mercury. Or the adventure of seven days	4 v. ;	NA
1703	The Merchants news-letter	18 v. ;	NA
1703	The New post-man	v. ;	NA
1703	The tell-truth remembrancer	3 v. ;	NA
1704	Origines anglicanæ	2v. ;	NA
1705	A collection of state tracts, publish'd on occasion of the late revolution in 1688. And during the reign of King William III. ... To which is prefix'd, the history of the Dutch war in 1672. Translated from the French copy printed at Paris in 1682. which was supprest at the Instance of the English Embassador, because of the Discoveries it made of the League betwixt the Kings of France and England for enslaving Europe, and introducing the Popish Religion into These Kingdoms, and the United Provinces. With a table of the several Tracts in this Volume, and a alphabetical index of Matters	3v. ;	NA
1705	The Dublin Mercury	v. ;	NA
1706	Dublin-Castle [date	v. ;	NA
1707	The Edinburgh courant review'd	v. ;	NA
1707	The Edinburgh flying post, or An impartial account of all the forreign news	2 v. ;	NA
1708	A view of the times, their principles and practices	4v. ;	NA
1708	The flying-post: or, the post-master	v. ;	NA
1708	The flying-post: or, the post-master's news	v. ;	NA
1709	The General postscript	20 v. ;	NA
1709	The Rehearsal	347 v. ;	NA
1709	The Scots post-man, or The Merchant-venturer and travellers gazetteer; ..	v. ;	NA
