publication.year	publication.title	document.pages.original	document.pages.total
1613	Monumenta sepulcralia et inscriptiones publicae privataeque Ducatus Brabantiae ..	? p. ;	NA
1663	A compendious history of the Turks	2 v. ;	1544 p.
1691	A discourse concerning Sanchoniathon's Phænician history by Henry Dodwell	[No pagination provided] ;	NA
1701	The right Honourable the Earl of Arlington's letters to Sir W. Temple, Bar. From July 1665. Being the first of his employments abroad, to September 1670. when he was recall'd. Giving a perfect and exact account of the treaties of Munster, Breda, Aix la Chapelle, and the Triple Alliance; Together with The particular Instructions to Sir William Temple, the Earl of Carlingford and Mr. Van Beuningen: With other Papers relating to those Treaties. As also a particular Relation of the Death of Madam by a Person of Quality then actually upon the Spot. All printed from the originals and never before publish'd. By Tho. Bebington, of Grays-Inn, Gent	2v. :	NA
1703	A conference with a theist	5v. ;	NA
1704	Lives, English and forein	2 v. ;	1295 p.
1704	The history of Dion Cassius abridg'd by Xiphilin	2v. ;	801 p.
1705	A compleat history of Europe	4v. ;	2397 p.
1708	Llyfr gweddi gyffredin a gweinidogaeth y sacramentau Gyda Chyneddfau a Ceremoniau Eraill yr Eglwys	[No pagination provided] ;	NA
1708	The Phenix: or, a Revival of scarce and valuable pieces	2 v. ;	1146 p.
1708	The reasonableness and certainty of the Christian religion	2v. ;	1137 p.
1710	Origines ecclesiasticæ	2v. ;	822 p.
1712	The secret history of Europe. Shewing that the late greatness of the French power was never so much owing to the number or goodness of their troops, and the Conduct of their Ministry at Home, as to the treachery and corruption of the ministers abroad. Giving a Full Account Of the Insincerity of England, Sweden, and Holland, in the Triple League. Of the Sieur De Wit's Correspondence with France, and his Murder by the Rabble. Of the Close Alliance between Charles II. and Lewis XIV Of the Poisoning of Madam. Of the Intrigues of Mr. M-Ambassador in France, and the E. of D. T-r in England. And Of the Secret Treaty between King James, and the French King. The whole Collected from Authentick Memoirs, as well Manuscript as Printed	2v. ;	NA
1713	The History of the reign of Queen Anne	11 v. :	NA
1714	Miscellaneous tracts	3v. ;	1564 p.
1714	The antient and present state of the University of Oxford	2v. ;	1088 p.
1715	An Historical account of the affairs of Great-Britain, and Ireland	v. ;	NA
1715	The Glasgow courant	3 v. ;	NA
1715	The reasonableness and certainty of the Christian religion	2v. ;	NA
1716	Letters written by Sir W. Temple, Bart	2 v. ;	NA
1718	A detection of the court and state of England	3v. ;	NA
1718	The entertainer	1 v. ;	NA
1719	A detection of the court and state of England	3v. ;	1506 p.
1719	Mercurius Britannicus	15 v. ;	NA
1719	The History of King-killers; or, The 30th of January commemorated	6pts. ;	NA
1719	The spinster	v. ;	NA
1720	Memoirs	3v. ;	NA
1720	Sacred history	3v. ;	NA
1720	The Delphick oracle	1 v.	NA
1720	The Old and New Testament connected	2v. ;	NA
1721	Religio veterum: or, A general history of religious worship, (both true and false) observ'd in the church for 4000 years	2v. ;	1201 p.
1721	The reasonableness and certainty of the Christian religion	2v. ;	NA
1722	A critical history of the establishment of the Bretons among the Gauls	2v. ;	616 p.
1722	Buchanan's History of Scotland. In twenty books. Containing I. An Account of its several Situations; and the Nature of its Soil and Climate. II. The Ancient Names, Manners, Laws, and Customs of the Country, and what People inhabited the Island from the very Beginning. III. A Chronicle of all its Kings, in an exact Series of Succession, from Fergus, the first Founder of the Scotish Monarchy, to the Reign of King James VI. of Scotland, and First, of England. The second edition, revised and corrected from the Latin original, by Mr. Bond. In two volumes. Adorned with Curious Cutts Engraven from the Original Paintings, by Mr. White, Mr. Vertue, &c	2v. ;	NA
1722	Epistolæ Jacobi Quarti, Jacobi Quinti, et Mariæ, regum Scotorum	2v. ;	786 p.
1722	The monthly London journal	v. ;	NA
1723	The ancient and present state of the University of Oxford	2v. ;	NA
1724	A review of the history of England	2v. ;	811 p.
1724	The critical history of England, ecclesiastical and civil	2v. ;	876 p.
1724	The historical register	2v. ;	NA
1724	The history of the revolutions in Spain, from the decadence of the Roman Empire, and the first foundation of the monarchy, to the renunciation of King Philip V. and the accession of Lewis I. ... In three parts, divided into five volumes. Written in French. And approv'd by the Abbot Vertot. Made English ... and illustrated with notes, by Mr. Morgan	3v. ;	NA
1725	Bishop Burnet's History of his own time	3v. ;	1581 p.
1725	The Protestant remembrancer	v. ;	NA
1726	The critical history of England	2v. ;	NA
1726	The history of France	5v. ;	2272 p.
1727	A general history of discoveries and improvements	4 v. ;	NA
1727	The Free Briton: or, the Opinion of the people	2 v. ;	NA
1727	The occasional writer	4 v. ;	NA
1727	The reports of Sir Edward Coke	13 parts ;	3464 p.
1728	A guide to the knowledge of publick affairs, both foreign and domestick	v. ;	NA
1728	The works of Tacitus	2v. ;	1232 p.
1729	The plain-dealer	v. ;	NA
1730	C. Cornelii Taciti opera	3v. ;	NA
1730	Miscellaneous tracts	3v. ;	NA
1730	The monthly remembrancer: or, An historical and chronological diary of the most remarkable affairs of Europe	v. :	NA
1730	The new political state of Great Britain	v. ;	NA
1730	The true secret history of the lives and reigns of all the kings and queens of England	2v. ;	NA
1731	A new survey of England	2v. :	868 p.
1731	Miscellaneous observations upon authors	2v. ;	808 p.
1731	The gentleman's magazine: or, Trader's monthly intelligencer	8 v. ;	NA
1731	The history of the German Empire from Charlemagne	2v. ;	809 p.
1731	The history of the High Court of Parliament	2v. ;	695 p.
1732	Alciphron	2v. ;	734 p.
1732	Alciphron	2v. ;	742 p.
1732	Alciphron	2v. ;	484 p.
1732	The Friendly writer, and Register of truth	8 v. :	NA
1732	The gentleman's magazine, or, Trader's monthly intelligencer	1 v. ;	NA
1732	The history of Scotland	2v. ;	1131 p.
1733	The Bee revived: or, Universal weekly pamphlet	102 v. :	NA
1733	The Bee: or, Universal weekly pamphlet revived	3 v. :	NA
1733	The Bee: or, Universal weekly pamphlet...	13 v. :	NA
1733	The Comedian, or Philosophical enquirer	9 v. ;	NA
1733	The Weekly magazine: or, Universal intelligencer	12 v. ;	NA
1733	The gradual revelation of the Gospel	2v. ;	857 p.
1734	The London and Dublin magazine: or, Gentleman's monthly intelligencer	v. ;	NA
1734	The Tell-tale	v. ;	NA
1734	The history of Poland under Augustus II	2v. ;	NA
1734	The reasonableness and certainty of the Christian religion	2v. ;	1127 p.
1735	An history of Ireland, from the year 1599, to 1603	2v. ;	773 p.
1735	Memoirs historical and military	2v. ;	927 p.
1735	The Bee: or, Universal weekly pamphlet	9 v. :	NA
1735	The London magazine: or, Gentleman's monthly intelligencer	4 v. ;	NA
1735	The Weekly amusement, &c	v. ;	NA
1735	The Weekly amusement: or, Universal magazine	2 v. ;	NA
1735	The gentleman's magazine, or, Monthly intelligencer	4 v. ;	NA
1735	The gentleman's magazine: or, Monthly intelligencer	52 v. ;	NA
1735	The records of Norwich. ..	2v. ;	NA
1736	The historical works of Bevill Higgons, Esq; ... . Being a Short View of the English History; with Reflections Political, Historical, Civil, Physical, and Moral; on the Reigns of the Kings; their Characters, and Manners; their Successions to the Throne; and all other remarkable Incidents to the Revolution 1688. Drawn from authentic Memoirs and Manuscripts	2v. ;	738 p.
1737	Memoires du Comte de Bonneval	2v. ;	379 p.
1737	The British librarian	6 v. ;	NA
1737	The sacred and prophane history of the world connected	3v. :	NA
1738	A general treatise of naval trade and commerce	2v. ;	NA
1738	Memoires du Comte de Bonneval	2v. ;	374 p.
1738	The Occasional writer	4 v. ;	NA
1738	The history of the English baptists	4v. ;	2210 p.
1738	The present state of Germany	2v. ;	1015 p.
1739	A collection of original letters and papers, concerning the affairs of England, from the year 1641 to 1660. Found among the Duke of Ormonde's papers. In two volumes. By Tho. Carte, M.A	2v. ;	NA
1739	A collection of the parliamentary debates in England	21v. ;	10875 p.
1739	An historical account of the antient parliaments of France	2v. ;	757 p.
1739	The Scots magazine, and general intelligencer	1 v. ;	NA
1739	The Universal spy or, the London weekly magazine	26 v. ;	NA
1740	Miscellaneous works of his late Excellency Matthew Prior, Esq; In two volumes	2v. ;	978 p.
1740	The Patriot	23 v. ;	NA
1741	Athenian letters	4v. ;	1061 p.
1741	The American magazine, or A monthly view of the political state of the British colonies	3 v. ;	NA
1741	The History of our own times	4 v. ;	NA
1741	The history and proceedings of the House of Commons	3v. ;	1447 p.
1741	The history of the life of Marcus Tullius Cicero	3v. ;	1325 p.
1742	A journal of the proceedings in Georgia	3v. ;	NA
1742	The history and proceedings of the House of Commons	v.1,4-7 ;	NA
1742	The history and proceedings of the House of Commons	12v. ;	NA
1742	The history and proceedings of the House of Lords	8v. ;	3832 p.
1742	The history of the variations of the Protestant churches	2v. ;	1077 p.
1743	The sacred and prophane history of the world connected	3v. ;	NA
1744	The Christian history, containing accounts of the revival and propagation of religion in Great-Britain & America. For the year 1743	2v. ;	NA
1745	The Christian history	2 v. ;	NA
1746	A synopsis of the troubles and miseries of England, during the space of 1800 years	4 pts. ;	NA
1746	The London magazine, and monthly chronologer	11 v. :	NA
1746	The Parrot	9 v. ;	NA
1746	The english traveller	3v. ;	1697 p.
1746	The history of Lewis XI	2v. ;	741 p.
1746	The history of Lewis XI	2v. ;	714 p.
1747	The British magazine: or, the London and Edinburgh intelligencer	24 v. ;	NA
1747	The Lady's magazine; and weekly speculist	v. ;	NA
1748	Critical reflections on poetry, painting and music	3v. ;	1125 p.
1748	Histoire du parlement d'Angleterre. Par M. L'Abbé Raynal. Tome Premier	2v. ;	640 p.
1748	Lives of the admirals	4v. ;	1365 p.
1748	The British magazine: or, the London and Edinburgh intelligencer	2 v. ;	NA
1748	The Scots magazine. Containing, a general view of the religion, politicks, entertainment, &c. in Great Britain	11 v. :	NA
1749	A general chronological history of the air, weather, seasons, meteors, &c. in sundry places and different times; ... with some of their most remarkable effects on animal (especially human) bodies, and vegetables. In two volumes. ..	2v. ;	1071 p.
1749	Magazin de Londres	v. ;	NA
1749	Memoires de Monsieur de la Torre, contenant l'histoire des negociations secrétes des cours de L'Europe pour le partage des royaumes de L'Espagne; Jusqu'à la Prise de Possession Des Pays-Bas Par les Troupes Françoises. Comprenant aussi l'histoire du droit de barriere des Provinces-Unies, par Mr. du Mont baron de Carlscroon. Tome Premier	2v. :	NA
1749	Observations on man	2v. ;	1022 p.
1749	The Cork surgeon's antidote	7 v. ;	NA
1749	The history of the popes	7v. ;	3358 p.
1749	The history of the state and sufferings of the Church of Scotland	2v. ;	1056 p.
1749	The principles of the Christian religion	3v. ;	1077 p.
1749	The principles of the Christian religion	3v. ;	1072 p.
1750	Discourses concerning government	2v. ;	923 p.
1750	Lives of the admirals	4v. ;	2025 p.
1750	The theological magazine	v. ;	NA
1751	Histoire du parlement d'Angleterre	2v. ;	640 p.
1751	The Highland gentleman's magazine	v. :	NA
1751	The history of the state and sufferings of the Church of Scotland	2 v. ;	969 p.
1751	The miscellaneous works	2v. ;	NA
1751	The works of the learned Benjamin Whichcote, D. D. Rector of St. Lawrence Jewry, London. ..	4v. ;	1722 p.
1751	Titi Livii patavini historiarum ab urbe condita libri qui supersunt, cum omnium epitomis, ac deperditorum fragmentis	4v. ;	2162 p.
1752	A defence of Christianity	2v. ;	NA
1752	A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America. ..	2v. ;	NA
1752	Letters on the study and use of history	2 v. ;	614 p.
1752	Letters on the study and use of history	2v. ;	382 p.
1752	The British stage	6v. ;	NA
1752	The Rambler	8 v. ;	NA
1752	The True Briton	v. ;	NA
1752	The history of the Portuguese, during the reign of Emmanuel	2v. ;	782 p.
1753	A defence of Christianity	2v. ;	NA
1753	A general treatise of naval trade and commerce	2v. ;	991 p.
1753	Bishop Burnet's history of his own time	3v. ;	NA
1754	Liberté de conscience	3v. ;	420 p.
1754	The history of Italy	10v. ;	4298 p.
1754	The works of Sir William Temple	4v. ;	2160 p.
1755	Mémoires de Madame de Staal	4v. ;	NA
1755	The history of Italy	v.1-3, 5 ;	NA
1756	A new and complete history of the British empire in America	3 v. ;	NA
1756	The Monthly and critical review	6 v. ;	NA
1757	Les faits memorables de Fréderic le Grand Roi de Prusse..	2v. ;	595 p.
1757	Memoirs of Maximilian de Bethune	5v. ;	2240 p.
1757	The Moderator	v. ;	NA
1758	Historical law-tracts. ..	2v. ;	NA
1758	Memoires pour servir a l'histoire générale des finances	2v. ;	NA
1758	The London weekly chronicle	4 v. ;	NA
1758	The Weekly magazine, and Literary review	16 v. ;	NA
