"publisher_orig_data","verb","target_string","person","person_type","place","place_prefix","actor_type"
"printed for the author, Rector of Bradley in the County of Derby",NA,"the author, Rector of Bradley in the County of Derby",NA,NA,NA,NA,NA
"pour l'autheur, & se vend aussi chez Richard Bridger au haut de Hind-Court en Fleet-Street; & chez Guillaume Vreem a deux Portes du Chene Royal en Earl-Street, proche de la Pyramide",NA,"pour l'autheur, & se vend aussi chez Richard Bridger au haut de Hind-Court en Fleet-Street; & chez Guillaume Vreem a deux Portes du Chene Royal en Earl-Street, proche de la Pyramide",NA,NA,NA,NA,NA
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","R. Moncrieffe","person",NA,NA,"print"
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","C. Jenkin","person",NA,NA,"print"
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","R. Burton","person",NA,NA,"print"
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","L. White","person",NA,NA,"print"
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","P. Byrne","person",NA,NA,"print"
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","J. Cash","person",NA,NA,"print"
"printed for R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","printed for","R. Moncrieffe, C. Jenkin, R. Burton, L. White, P. Byrne, J. Cash, S. Colbert, and W. M'Kenzie","S. Colbert","person",NA,NA,"print"
"printed for Bernard Lintott at the Cross-Keys next Nando's Coffee-House in Fleetstreet","printed for","Bernard Lintott at the Cross-Keys next Nando's Coffee-House in Fleetstreet","Bernard Lintott","person","Cross-Keys next Nando's Coffee-House in Fleetstreet","at the","print"
"printed for R. V. and sold by R. Gosling, at the Mitre, over-against Chancery-Lane; and J. Pemberton, at the Golden Buck over-against St. Dunstan's Church, both in Fleet street","printed for","R. V. and","R. V.","person",NA,NA,"print"
"printed for R. V. and sold by R. Gosling, at the Mitre, over-against Chancery-Lane; and J. Pemberton, at the Golden Buck over-against St. Dunstan's Church, both in Fleet street","sold by","R. Gosling, at the Mitre, over-against Chancery-Lane; and J. Pemberton, at the Golden Buck over-against St. Dunstan's Church, both in Fleet street","R. Gosling","person","Mitre , over-against Chancery-Lane","at the","sell"
"printed for R. V. and sold by R. Gosling, at the Mitre, over-against Chancery-Lane; and J. Pemberton, at the Golden Buck over-against St. Dunstan's Church, both in Fleet street","sold by","R. Gosling, at the Mitre, over-against Chancery-Lane; and J. Pemberton, at the Golden Buck over-against St. Dunstan's Church, both in Fleet street","J. Pemberton","person","Golden Buck over-against St. Dunstan's Church , both in Fleet street","at the","sell"
NA,NA,"NA",NA,NA,NA,NA,NA
NA,NA,"NA",NA,NA,NA,NA,NA
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","Henry Lintot","person",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","Edw. Sayer","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","Esq","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street","T. Woodward","person","Half-Moon between the Temple Gates in Fleet-Street","at the","print"
"In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by R. Baldwin, at the Rose in Pater-Noster Row","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
