"";"verb";"verb_suffix";"actor";"location";"location_prefix";"orig_string"
"1";"printed";"for";"R. Francklin";"Russel-Street";"in";"printed for R. Francklin, in Russel-Street, Covent-Garden"
"2";"printed";"for";"C. Dilly";"Poultry";"in the";"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c"
"3";"printed";"for";"J. Davis";NA;"";"printed for J. Davis, and M. Cooper"
"4";"printed";"for";"J. Ridgway";"York-Street";"NO. I ,";"for J. Ridgway, NO. I, York-Street, St. James's Square"
"5";"Printed";"for";"J. Roberts";"Oxford-Arms";"near the in";"Printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane"
"9";"printed";"by";"S. Powell";"Dame-Street and";"in";"printed by S. Powell, for G. and A. Ewing, and W. Smith, in Dame-Street and G. Faulkner, in Essex-Street, Booksellers"
"10";"Printed";"for";"William Creech";"London";"";"Printed for William Creech; and sold by T. Cadell, and T. Longman, London"
"11";"Printed";"for";"J. Brindley";"King's-Arms";"at the";"Printed for J. Brindley at the King's-Arms in New-Bond-Street; and sold by J. Roberts in Warwick-Lane; J. Wilford behind the Chapter-House, near St. Paul's; E. Nutt under the Royal-Exchange; and A. Dodd without Temple-Bar"
"12";"printed";"for";"G. G. J.";"Paternoster-Row";"";"printed for the author; and sold by G. G. J. and J. Robinson, Paternoster-Row"
"13";"printed";"for";"Bernard Lintot";"Cross-Keys";"at the";"printed for Bernard Lintot, at the Cross-Keys near the Temple-Gate, Fleetstreet"
"14";"sold";"by";"J. Buckland";"Buck";"at the and C. under the";"Sold by J. Buckland, at the Buck in Pater Noster Row, and C. Henderson, under the Royal Exchage"
"15";"Printed";"by";"John Oliver";"Bartholomew-Close";"in near";"Printed by John Oliver, in Bartholomew-Close, near West-Smithfield"
"17";"printed";"for";"J. Cooke";"Shakespeare's Head";"at in";"printed for J. Cooke, at Shakespeare's Head, in Pater-Noster-Row"
"19";"printed";"for";"Alexander Ewing";"Dame-Street";"in";"printed for Alexander Ewing, in Dame-Street"
"21";"printed";"for";"J. Bell";"Strand";"";"printed for the writer, and sold by J. Bell, British Library, Strand"
"23";"printed";"for";"W. Reeve";"Shakespear's Head";"at";"printed for W. Reeve, at Shakespear's Head, Fleet-Street"
"24";"printed";"by";"R. Griffiths";"Dunciad";"at the";"printed, and sold by R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street"
"25";"printed";"for";"J. Roberts";"Oxford Arms";"near the";"printed for J. Roberts near the Oxford Arms in Warwick-Lane"
"26";"printed";"for";"G. Ewing";"Angel and Bible";"at the in";"printed for G. and A. Ewing, at the Angel and Bible, in Dame-Street"
"27";"printed";"for";"W. Mears";"Lamb";"at the";"printed for W. Mears, at the Lamb in the Old-Baily"
"29";"printed";"for";"A. Linde";"Catherine Street";"in P.";"printed for A. Linde in Catherine Street, P. Davey and B. Law in Ave-Mary Lane, and J. Staples opposite Stationers-Hall"
"30";"printed";"for";"John Murray";"Fleet-Street";"No. 32 ,";"printed for John Murray, No. 32, Fleet-Street"
"31";"printed";"for";"J. Johnson";"St. Paul's Church-Yard";"in";"printed for J. Johnson, in St. Paul's Church-Yard; and G. Robinson, in Pater-Noster-Row"
"32";"printed";"by";"H. Hills";"Black-Fryars";"in near the";"printed and sold by H. Hills, in Black-Fryars, near the Water-Side"
"36";"printed";"for";"R. Moncrieff";"Capel-Street";"in";"printed for R. Moncrieff, Bookseller, in Capel-Street"
"39";"printed";"by";"James Phillips";"George-Yard";"";"printed by James Phillips, George-Yard, Lombard-Street"
"40";"printed";"by";"R. Burleigh";"Amen-Corner";"in and A.";"printed, and sold by R. Burleigh in Amen-Corner, and A. Boulter without Temple-Bar"
"43";"printed";"for";"Robert Main";"Homer's Head";"at";"printed for Robert Main at Homer's Head in Dame-Street"
"44";"printed";"for";"J. Debrett";"Burlington-House";"Opposite";"printed for J. Debrett, Opposite Burlington-House, Piccadilly"
"48";"printed";"for";"J. Batley";"Dove";"at the";"printed for J. Batley, at the Dove in Pater-Noster-Row"
"49";"printed";"for";"E. Sumpter";"Salisbury-Court";"opposite";"printed for E. Sumpter, opposite Salisbury-Court, Fleet-Street"
"53";"printed";"for";"Aaron Ward";"Kings Arms";"at the and at the";"printed for Aaron Ward, at the Kings Arms, and Francis Jackson, at the Rose and Crown in Little Britain"
"55";"printed";"for";"J. Newbery";"Bible and Crown";"at the";"printed for J. Newbery, at the Bible and Crown without Temple Bar"
"59";"Printed";"for";"Eaton";"Cock and Swine";"at the No. 74 ,";"Printed for D.L. Eaton, at the Cock and Swine, No. 74, Newgate-Street"
"61";"Printed";"for";"George Sawbridge";"Three Flower-de-Luces";"at the";"Printed for George Sawbridge, at the Three Flower-de-Luces in Little-Britain"
"63";"printed";"for";"T. Warner";"Black-Boy";"at the";"printed for T. Warner, at the Black-Boy in Pater-Noster-Row"
"65";"printed";"for";"J. Scott";"Black Swan";"at the in";"printed for J. Scott, at the Black Swan, in Pater-Noster-Row"
"67";"printed";"by";"T. Gardner";"Cowley's Head'";"at";"printed by and for T. Gardner, at Cowley's Head' without Temple-Bar"
"74";"printed";"by";"James Hoey";"Mercury";"at the";"printed by James Hoey, Junior, at the Mercury in Parliament-Street"
"78";"printed";"for";"T. Cox";"St. Thomas's Street";"";"printed for T. Cox, St. Thomas's Street, Borough; and G. G. and J. Robinson, Paternoster-Row"
"79";"printed";"for";"W. Gilbert";"Great George's-Street";"No. 26 ,";"printed for W. Gilbert, No. 26, Great George's-Street"
"81";"printed";"for";"Sam. Smith";"Princes's-Arms";"at the and at the";"printed for Sam. Smith, at the Princes's-Arms, and Jo. Taylor, at the Ship in St Paul's Church-Yard"
"84";"printed";"for";"W. Innys";"Prince's Arms";"at the";"printed for W. Innys, at the Prince's Arms in St. Paul's Church-Yard"
"85";"printed";"for";"J. T.";"Pamphlet Shops";"at the";"printed for J. T., and sold at the Pamphlet Shops in London and Westminster"
"86";"printed";"by";"J. Towers";"Piccadilly";"in";"printed by J. Towers, in Piccadilly"
"89";"printed";"for";"R. Snagg";"Pater-Noster-Row";"No. 29 ,";"printed for R. Snagg, No. 29, Pater-Noster-Row"
"90";"printed";"for";"J. Lackington";"Chiswell-Street";"No. 46 & 47 ,";"printed for J. Lackington, No. 46 & 47, Chiswell-Street, Finsbury-Square, Moorfields"
"91";"printed";"by";"J. Stockdale";"Abbey-Street";"Near";"printed by J. Stockdale, 62, Abbey-Street, Near Carlisle Bridge"
"93";"printed";"for";"E. Curll";"Fleetstreet";"in";"printed for E. Curll, in Fleetstreet"
"97";"Printed";"for";"J. Debrett";"opposite Burlington-House";"";"Printed for J. Debrett, (successor to Mr. Almon opposite Burlington-House, Piccadilly"
"99";"printed";"for";"T. Cooper";"Globe";"at the";"printed for T. Cooper, at the Globe in Pater-Noster-Row"
"107";"printed";"for";"Hawes";"Paternoster Row";"in";"printed for Hawes, Clarke and Collins, in Paternoster Row"
"110";"printed";"for";"J. Debrett";"Burlington House";"opposite in";"printed for J. Debrett, opposite Burlington House, in Piccadilly"
"111";"printed";"by";"James Esdall";"Corner of Copper-Alley";"at the on";"printed by James Esdall, at the Corner of Copper-Alley, on Cork-Hill"
"117";"printed";"for";"W. Meadows";"in Cornhill";"";"printed for W. Meadows, and T. Cox in Cornhill; and R. Wellington, without Temple Bar"
"123";"printed";"by";"H. Smith";"Red-Lion-Court";"No. 4 ,";"printed by H. Smith, No. 4, Red-Lion-Court, Fleet-Street; published by Ballard, Chandos-Street; Evans and Bone, No. 120, Holborn-Hill; and may be had of every bookseller in town and country"
"125";"printed";"by";"W. Boreham";"Angel";"at the";"printed and sold by W. Boreham at the Angel in Pater-Noster-Row"
"126";"Printed";"at";NA;"Aldermary church-yard";"in";"Printed and sold at the printing-office in Aldermary church-yard, London"
"129";"printed";"for";"T. Becket";"Pall-Mall";"";"printed for T. Becket, Pall-Mall, Bookseller to his Royal Highness the Prince of Wales, and Their Royal Highnesses the Princes"
"132";"printed";"by";"C. Macrae";"Orange-Street";"";"printed by C. Macrae, Orange-Street; and sold by T. Cadell, in the Strand"
"134";"printed";"by";"Joseph Cooper";"Fleet Street";"No. 30 ,";"printed by Joseph Cooper; and sold by John Murray, No. 30, Fleet Street; J. Johnson, St. Paul's Church Yard; and by William Creech, in Edinburgh"
"138";"printed";"for";"J. Walter";"Charing-Cross";"";"printed for J. Walter, Charing-Cross; and C. Dilly, in the Poultry"
"142";"printed";"for";"T. Spence";"Little-Turnstile";"at the hive of liberty , No. 8 ,";"printed for T. Spence, at the hive of liberty, No. 8, Little-Turnstile, High-Holborn"
"145";"printed";"for";"E. Curll";"Catherine-Street";"";"printed for E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall"
"149";"printed";"for";"J. Hodges";"Looking-Glass";"at the facing";"printed for J. Hodges, at the Looking-Glass, facing St. Magnus-Church London-Bridge; and B. Collins at Salisbury"
"151";"printed";"by";"Stuart";"Adelphi";"Near The";"printed by Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand"
