original	polished	Count
Total count: 	n=49344 (50% non-NA values)	Total count: 
s.n.	n	4605
[s.n.]	s.n	1991
s.n.]	n	1514
s.n	n	748
printed by John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	john bill christopher barker, kings most excellent majesty	133
Printed by John Dunlap	john dunlap	133
printed by Robert Barker, printer to the Kings most Excellent Majestie: and by the assignes of John Bill	robert barker, kings most excellent majestie: assignes john bill	132
printed for Edward Husband, printer to the Honorable House of Commons	edward husband, honorable house commons	102
In the Savoy, printed by the assigns of John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	savoy, assigns john bill christopher barker, kings most excellent majesty	99
printed by John Field, printer to the Parliament of England	john field	95
printed for the author	author	86
Printed by Benjamin Edes	benjamin edes	85
printed by John Bill and Christopher Barker, printers to the Kings most excellent Majesty	john bill christopher barker, kings most excellent majesty	83
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the Kings most excellent Majesty	charles bill, executrix thomas newcomb, deceas'd, kings most excellent majesty	80
Printed by John Carter	john carter	79
printed by Andrew Crooke, Printer to the King's Most Excellent Majesty, at the King's-Arms in Copper-Alley	andrew crooke, king's most excellent majesty, king's-arms copper-alley	65
printed by Charles Bill and Thomas Newcomb, printers to the King and Queens most Excellent Majesties	charles bill thomas newcomb, king queens most excellent	60
printed by Benjamin Tooke, printer to the Kings most Excellent Majesty, and are to be sold by Samuel Dancer book-seller in Castle-street	benjamin tooke, kings most excellent majesty, are be samuel dancer book-seller castle-street	59
Printed by John Holt	john holt	52
printed for T. Cadell, in the Strand	cadell, strand	52
printed by the assigns of John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	assigns john bill christopher barker, kings most excellent majesty	48
printed by Robert Barker, printer to the Kings most excellent Majestie: and by the assignes of John Bill	robert barker, kings most excellent majestie: assignes john bill	47
printed by the assigns of John Bill and Christopher Barker, printers to the Kings most excellent Majesty	assigns john bill christopher barker, kings most excellent majesty	47
printed by Richard Cotes	richard cotes	46
printed by George Grierson, printer to the King's Most Excellent Majesty, at the King's Arms and Two Bibles in Essex-Street	george grierson, king's most excellent majesty, king's arms two bibles essex-street	45
printed for Edward Husbands	edward husbands	45
printed by Henry Hills and John Field, printers to His Highness	henry hills john field, his highness	44
printed by Edward Husband and John Field, printers to the Parliament of England	edward husband john field	43
printed by George Grierson	george grierson	43
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Queens most excellent Majesty	charles bill, executrix thomas newcomb, deceas'd	41
Printed by Edw. Jones in the Savoy	edw. jones savoy	40
Printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Queens Most Excellent Majesty	charles bill, executrix thomas newcomb, deceas'd	39
printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty	assigns john bill deceas'd: henry hills, thomas newcomb, kings most excellent majesty	38
Printed by James Parker	james parker	37
printed by Andrew Crook, printer to the Queen's most excellent Majesty, on the Blind-Key	andrew crook, queen's most excellent majesty, on blind-key	36
Printed by Francis Bailey	francis bailey	36
By Bonham Norton and Iohn Bill, Printers to the Kings most Excellent Maiestie	bonham norton iohn bill, kings most excellent maiestie	36
by Leonard Lichfield, printer to the University	leonard lichfield, university	36
printed by Charles Bill and Thomas Newcomb, printers to the King and Queens most excellent Majesties	charles bill thomas newcomb, king queens most excellent	35
printed for John Thomas	john thomas	35
printed by John Bill, Christopher Barker, Thomas Newcomb, and Henry Hills, printers to the Kings most excellent Majesty	john bill, christopher barker, thomas newcomb, henry hills, kings most excellent majesty	35
Printed by Hudson and Goodwin	hudson goodwin	35
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the King and Queens most Excellent Majesties	charles bill, executrix thomas newcomb, deceas'd	35
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Kings most Excellent Majesty	charles bill, executrix thomas newcomb, deceas'd	34
printed by Charles Bill and Thomas Newcomb, printers to the King and Queen's most Excellent Majesties	charles bill thomas newcomb, king queen's most excellent	34
by Robert Barker, printer to the Kings most Excellent Majestie: and by the assignes of John Bill	robert barker, kings most excellent majestie: assignes john bill	34
e Theatro Sheldoniano	e theatro sheldoniano	34
Printed by William Ross?	william ross?	34
printed by John Baskett, printer to the Kings most excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	john baskett, kings most excellent majesty, assigns thomas newcomb, henry hills, deceas'd	34
printed for George Horton	george horton	34
printed by Leonard Lichfield, printer to the Vniversity	leonard lichfield	34
printed for Joseph Hunscott	joseph hunscott	34
Printed for the author	author	33
printed for J. Wright	wright	33
printed by Evan Tyler, printer to the Kings most excellent Majestie	evan tyler, kings most excellent majestie	32
for John Wright at the Kings Head in the old Bayley	john wright kings head old bayley	32
Printed by Childs and Swaine	childs swaine	32
By Robert Barker, Printer to the Kings most Excellent Maiestie	robert barker, kings most excellent maiestie	32
printed by Evan Tyler, printer to the Kings most Excellent Majesty	evan tyler, kings most excellent majesty	32
printed for G. Horton	horton	32
printed for J. Debrett, opposite Burlington-House, Piccadilly	debrett, opposite burlington-house, piccadilly	31
printed by Andrew Crook, printer to the King's most excellent Majesty, on Cork-Hill, near Copper-Alley	andrew crook, king's most excellent majesty, on cork-hill, near copper-alley	31
Printed by James Rivington	james rivington	31
printed for John Stockdale, Piccadilly	john stockdale, piccadilly	31
printed by John Baskett	john baskett	31
printed for R.W.	r.w	31
printed for Iohn Thomas	iohn thomas	30
printed by William du-Gard and Henry Hills, printers to His Highness the Lord Protector	william du-gard henry hills, his highness lord protector	29
printed for J. Dodsley, in Pall-Mall	dodsley, pall-mall	29
by Robert Barker, printer to the Kings most excellent Maiestie	robert barker, kings most excellent maiestie	29
Printed by David C. Claypoole	david c. claypoole	28
printed, by John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	john bill christopher barker, kings most excellent majesty	27
by Robert Barker, printer to the Kings most excellent Majestie: and by the assignes of John Bill	robert barker, kings most excellent majestie: assignes john bill	27
printed for Iohn Wright	iohn wright	27
printed by John Streater, and John Macock, printers to the Parliament	john streater, john macock, parliament	27
printed by Henry Hills and John Field, printers to His Highness the Lord Protector	henry hills john field, his highness lord protector	26
printed by Charles Bill, Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty	charles bill, henry hills, thomas newcomb, kings most excellent majesty	26
printed for M. Cooper, at the Globe in Pater-Noster-Row	m. cooper, globe pater-noster-row	26
printed for J. Milliken, 32, Grafton-Street	milliken, 32, grafton-street	26
printed for Edward Husband, printer to the honorable House of Commons	edward husband, honorable house commons	26
printed by VVilliam Bladen	vvilliam bladen	26
printed for A. Millar, in the Strand	millar, strand	25
printed for John Wright at the Kings Head in the old Bayley	john wright kings head old bayley	25
printed for James and John Knapton, at the Crown in St. Paul's Church-Yard	james john knapton, crown st. paul's church-yard	24
printed by Andrew Crooke, printer to the Queen's most excellent Majesty, on the Blind-Key	andrew crooke, queen's most excellent majesty, on blind-key	24
Printed by Andrew Crook, Printer to the Kings Most Excellent Majesty, on Ormonde-Key	andrew crook, kings most excellent majesty, on ormonde-key	24
printed by John Bill, Thomas Newcomb, and Henry Hills, printers to the Kings most excellent Majesty	john bill, thomas newcomb, henry hills, kings most excellent majesty	24
Printed by John Draper	john draper	24
printed for J. Roberts, near the Oxford-Arms in Warwick-Lane	roberts, near oxford-arms warwick-lane	24
by Stephen Bulkley	stephen bulkley	24
printed for Iohn Wright in the Old-baily	iohn wright old-baily	24
printed for J. Debrett, opposite Burlington House, Piccadilly	debrett, opposite burlington house, piccadilly	23
printed by John Bill and Christopher Barker, printers to the King's most Excellent Majesty	john bill christopher barker, king's most excellent majesty	23
printed for John Wright at the Kings Head in the Old Bayley	john wright kings head old bayley	23
printed by Andrew Crooke, printer to the King's most excellent Majesty, at the King's-Arms in Copper-Alley	andrew crooke, king's most excellent majesty, king's-arms copper-alley	23
printed by Andrew Crooke, printer to the Queen's most excellent Majesty, in Copper-Alley	andrew crooke, queen's most excellent majesty, copper-alley	23
printed by John Bill, printer to the Kings most Excellent Majesty	john bill, kings most excellent majesty	23
Printed by Samuel Loudon	samuel loudon	23
Printed by Hall and Sellers	hall sellers	23
printed by Charles Eyre and William Strahan, Printers to the King's most Excellent Majesty	charles eyre william strahan, king's most excellent majesty	23
printed for Laurence Chapman	laurence chapman	22
printed only for R. Baldwin	r. baldwin	22
printed by Thomas Baskett; and by the assigns of Robert Baskett	thomas baskett	22
by Evan Tyler	evan tyler	22
printed by the heir of Andrew Anderson, printer to His most Sacred Majesty	heir andrew anderson, his most sacred majesty	22
by Leonard Lichfield, printer to the Vniversity	leonard lichfield	22
printed by Charles Bill, and Thomas Newcomb, printers to the King and Queen's most excellent Majesties	charles bill, thomas newcomb, king queen's most excellent	22
printed by John Field, printer to the Parliament. And are to be sold at the seven Stars in Fleetstreet, over against Dunstans Church	john field, parliament. are be seven stars fleetstreet, over against dunstans church	22
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the Kings most Excellent Majesty	charles bill, executrix thomas newcomb, deceas'd, kings most excellent majesty	22
printed by John Bill and Christopher Barker, printers to the King's most excellent Majesty	john bill christopher barker, king's most excellent majesty	21
Printed by James Humphreys, Junr	james humphreys, junr	21
Printed by Thomas Baskett, printer to the King's Most Excellent Majesty; and by the assigns of Robert Baskett	thomas baskett, king's most excellent majesty	21
Printed by Benjamin Tooke .. and are to be sold by Joseph Wilde ..	benjamin tooke .. are be joseph wilde	21
printed by Charles Eyre and William Strahan	charles eyre william strahan	21
printed and sold by the booksellers of London and Westminster	booksellers london westminster	20
printed by Evan Tyler, printer to the Kings most Excellent Majestie	evan tyler, kings most excellent majestie	20
In the Savoy: printed by Edward Jones	savoy: edward jones	20
Printed by Edes and Gill	edes gill	20
Printed by Francis Childs and John Swaine	francis childs john swaine	20
printed for J. Debrett, Piccadilly	debrett, piccadilly	20
printed for J. Roberts in Warwick-Lane	roberts warwick-lane	20
Printed by John Baskett, printer to the Kings Most Excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	john baskett, kings most excellent majesty, assigns thomas newcomb, henry hills, deceas'd	20
