zype
willmet
willmer
willme
williman
williamite
william iii
willding
willdey
willdenow
willcocks
willats
willan
wilkieson
wilgress
wildoe
wild indian
wildgosse
wildgoos
wildair
wilcocks
wilcocke
wilckens
wilbye
wilberforce
wigwagg
wigtown
wigstead
wigram
wignell
wigmore
wightwick
wigan
wiesenthal
wielhorski
wiegleb
wiedt
widow of an officer
widow lady
widley
widenfeldt
widegren
widdowes
widditt
wicquefort
wicksteed
wicksted
wickins
wicked witch of the west
wickart
wichehalse
wiche
wiburn
wibbersley
w. i
whytt
whytstons
whytock
whytlaw
whythorne
whynnell
whyle
w. h. r. v. h. e
whorwood
whore of quality
whittinton
;whittington
whittelsey
whittell
whitsoncraft
whitrow
whitro
whitmill
whitlaw
whithorne
whitgre
whitgift
whitewood
whitestone
whiteheed
whiteheart
whitefoote
whitefoord
whitebrook
whitebank
whitear
whitcombe
whitbourne
whitbie
whishaw
whirligig
whirlepool
whippey
whipcord
whinnell
whincop
whimsical
whig of the old school
whig member of parliament
whight
whig gentleman in the country
whigg at rome
whig anglois
whichcot
whetenhall
wheten
wheland
wheatland
wheathill
wheare
whatmore
whatman
wharam
whacum smack'em
w. h
w. g
w. f
weylie
weylar
weycoe
wewitzer
wettersteint
wetherhead
wetherel
wethered
wetenhall
weszprémi
westrupp
westropp
westrop
west-riding freeholder
westminster scholar
westminster elector
westminster assembly of divines
westminster
westmeath
westmacott
west india planter
west-india merchant
westhawe
westfaling
westerveen
westerne
westerdell
west-country maltster
west country freeholder
west-country clothier
weskett
wescombe
werthes
werndli
werge
werenfels
werdmüller
werdmueller
werden
w. e. p. l
wensley
wennington
wenham
wendeborn
wemyss
wemys
wemeyss
wel-wisher to truth and peace
wel-wisher to the safety and freedom
wel-wisher to the kingdome of our lord jesus
wel-wisher to religion
welwisher to presbytery
welwisher to presbyterian principles
welwisher to his majesty
wel-wisher to his lordship
wel-wisher of peace and truth
wel-wisher
welsteed
welsted
welstead
wellwood
well-wishing phylopater
well-wisher to what himselfe once was
wellwisher to truth
well-wisher to trade and the publick good
well-wisher to trade and credit
well-wisher to this country
well-wisher to this commonwealth
well-wisher to the true security of both christian and civil liberty
wellwisher to the trade and navigation of great-britain
well-wisher to the trade
well-wisher to the starry science
well-wisher to the souls of men
well-wisher to the royal navy of england
well-wisher to the revolution
well-wisher to the reformation
well-wisher to the publick interest of the nation
well-wisher to the publick
well-wisher to the protestant religion
well-wisher to the prosperity of the said town
wellwisher to the prosperity of britain
well-wisher to the prosperity both of great-britain and north-america
well-wisher to the present happy establishment
wellwisher to the present government
well-wisher to the permanent dignity and felicity of both
well-wisher to the peace of this our sion
well-wisher to the peace of great-britain
well-wisher to the peace of britain
well-wisher to the nations happiness and prosperity
well-wisher to the mathematicks
well-wisher to the king and kingdom
well-wisher to the jesuits
wellwisher to the good old cause
well-wisher to the forming the infant mind to religion and virtue
well-wisher to the education of the youth of this country
well-wisher to the education of children
well-wisher to the distillers and the nation
well-wisher to the common-wealth
well-wisher to the city and kingdome
well-wisher to the brandy-bottle
well-wisher to the anabaptists prosperity]
well-wisher to that trade and the true english interest
wellwisher to souls
well-wisher to religion]
well-wisher to religion
well-wisher to publick credit and the national interest
well-wisher to parliaments
wellwisher to mr. gib
wellwisher to merit
well-wisher to mankind
well-wisher to his prince and countrie
well-wisher to his majesty
well-wisher to his king and country
well-wisher to his king and countrey
well-wisher to his country
well-wisher to his countrey
well-wisher to her sex
well-wisher to great-britain
well-wisher to england's prosperity
well-wisher to england's peace
well-wisher to a true gospel ministry
wellwisher to all mankind
well-wisher to all mankind
wellwisher of truth & peace
well-wisher of truth and peace
well-wisher of the society
well-wisher of the publick welfare
well-wisher of the peace and happiness of the three nations
well-wisher of the mathematicks
well-wisher of the established church
well-wisher of the country's peace
well-wisher of the cause of christ
well-wisher of peace in the church
well-wisher of his country
well-wisher of his countrey
well-wisher of her's in trinity
well-wisher in astrology
well-minded petitioner for peace and truth
well-meaning briton
welldon
wellbeloved
well-affected christian souldier
welcker
welch attorney
welbe
wekett
weitenauer
weissen
weissel
weinidog o eglwys loegr
weinidog
weikard
weidenfeld
weichsell
weichmann
weichenhan
wegelin
weever
weeping willon
weelkes
weeitman
weedonian bard
wederspan
wederburn
wedeerburn
weddred
weckherlin
w. e. b. j
webborn
web
weavor
weaver at norwich
weatherwise
weatherstone
weatherston
weatherburn
weate
wearis
weamys
weall
weales
w. e
w----e
w. d. b
w. d
w. c. d
w. c
w. b. w
w. b
wayte
waymouth
wauchope
wattle
wattie
wattè
wats
wateson
watertoune
waterman's society
waterland
watelet
watch
wat
wastfield
wasteneys
wastell
wast
wassenaer
wasse
wase
w. a. s
warter
warry
warrock
warroch
warrent officer belonging to the navy
warre
warrander
warrand
warnery
warneford
warmestry
warly
warltire
warkensleben
warham
wargentin
wardrope
wardrobe
warbstoniensis
wapull
wappineer
waple
wanton
wansey
wanostrocht
wanley
wandesford
wandering jew from scotland
wandering jew
wandering body of the church of scotland
walwyk
walwein
walthoe
waltham
walten
walsby
walsall
walmesley
wallwin
wallop
wallbeck
wallas
walkingame
walkey
walkely
walkden
walgrave
walenburch
walef
waldenfield
waldegrave
walcot
walbank
walaeus
walachian
wakelin
waithman
wainhouse
wainewright
wails
wagpole
wagnière
waghorn
waghenaer
wag
waferer
wadström
wadham
wadeson
waddilove
wächter
wachsel
waarmond
waad
w. a
w.
w-----
w----
vyner
vyllagon or villegagnon
vulson
vulpius
vrillac
vries
vream
vrais amis canadiens
v. r
v. p
voyon
vox populi
vowler
vowel
votier
voteright
votary of hymen
voster
vossius
vosgien
vorstius
vopell
voorhelm
vongieur
vondenvelden
volusianus
volusenus
voluntier in that service
volunteer of c. r. l. d
volunteer in the said expedition
volunteer in the expedition to the coast of france
volunteer in the british service
volta
volkna
volck
voiture
voisenon
voilleret
voile
voet
vockerodt
v. m
vlacq
vize
vizcardo y guzmán
vivignis
vivianus
vivens
vivant de mezague
vitruvius pollio
vitré
vitis gallo-americana
vitellini
visscher
vispré
vispré
visiter of the sick man's friend
visionary
virginian
virginia company
virgilius maro
viret
virel
virasel
virard
violaine
viny
vindicator
vindex
vinciolo
villers
villemain d'abancourt
villault
villa sancta
villars
villaret
villalibre
villalegas
vilant
vignolle
vignacourt
vigilant
vigenère
vigani
vigaeus
vievar
vieux magistrat
viette
viète
vidua
vidian
vidampierre
victorinus
vickris
vicinus
vicary
vicarius
vicarage
viani
vial de sainbel
vézian
veysie
vevers
veteran officer
veteran
vetch
vestenburg
vesling
vesalius
veryard
verus scotus
verus
vertue
vertenzern
vertamont
verryck
verro
verri
verral
verovicensis senescens
véron
véron
vernous
vernor
verney
verneuil
vernes
vernantes
vernage
vermuyden
vermigli
veritable patriote hollandois
veritable patriote
vericolus
vergier
vergerio
vergani
verepaeus
verdy du vernois
verduc
verdion
verber
veracitas
veracini
ventom
ventidius
venisent-fitzgarald
venette
veneroni
venaeus
velthusen
velthoven
velshie
velnos
velley
velcurio
vel
veìzian
veitia linage
veillem
vegio
vegetius renatus
veel
vedel
v. b
vavasour
vauts
vautravers
vautor
vaus
vaumorière
vaulove
vaulabrée
vaughton
vaucanson
vauban
vattel
vastogirardi
vassès
vasselier
vaslet
vasini
vase
varey
varennes
varenius
varchi
vapid
van vlierden
van solingen
van santvoord
vans agnew
vans
van reekhard
vanneschi
van neck
van mildert
van-loon
van lier
vanière
vanière
vanheck
van gyson
vangheyn
vanforce
vanel
vander vluyn
vanderstegen
vanderlint
van der lende
van der doort
vanderbank
vandeput
vandenhoeck
vandenhende
vandenhecke
vanden broek
vanden bemde
vandelure
vancouver
van clauturbank
van charante
van catch money
van butchell
van bubble
vanbrugh
van braam houckgeest
valton
valsecchi
valpy
valmont de bomare
valmarana
valleton de boissière
vallemont
vallavine
vallans
vallange
vallade
valkenier
valincour
valetudinary
valett
valet
valesius
valerius maximus
valence
valdory
valckenaer
valangin
vairasse
vaillant
vadianus
vadé
vacherie
vachell
v. a
v.
uztáriz
uxorius
uttiv
uttini
utter-barrister
utilitist
utie
u.t
ustonson
ussieux
uss
uslar
usebius
urwick
urlsperger
uri
urfé
urfé
urell
urdemann
urbigerus
urban viii
urbanus
upsher
upright downright very odd fellow
upright burgess and a lover and defender of your rights and privileges
upper ossory
upholsterer
upfeild
upcote
unworthy servant and subject of jesus christ
unworthy member of jesus christ
unworthy member
unwin
unus solus
unton
untaxed attorney
untainted englishman
un suisse
unprejudiced traveller
unprejudiced observer
unprejudic'd person
unpolled burgess
unpatronized female
unlettered bard
unletter'd laick
unknown servant of his lordship
unknown hand
unknown author
univocè-catholicus
universal friend
unitarian christian
uninterested spectator
uninterested person
unfeigned friend of piety and publique liberty
undrell
undissembling catholic
un de ses auditeurs
under-writer
under-spur-leather
undergraduate
under-farmers of the crown lands
under-drawer at the --'s-head-tavern in -- gate-street
uncles
unbyassed citizen
unbiassed irishman
unbiass'd member of the house of commons
unbeneficed clergyman of the church of england
unbeneficed clergyman
umfreville
umbraticus
ulugh beg
ulster
ulric
ullerston
ufrontorio
udny
tzechani
tyzack
tyte
tyssot de patot
tyrwhitt
tyrwhit
tyrtaeus
tyro of his own school
tyro
tyrconnell
typographicus
typo
tynley
tyng
tyndale
tymbs
tym
tyers
twycross
tw. th
t. w. t
twopeny
two english gentlemen
twittee
twitcher
twisting
twisse
twisleton
twisden
twin-brothers in scandal
twilight
twigem
twig
twentyman
twells
tweeddale
tweady
t.w. citizen of chester
twankham
twamley
t. w
t.w
t-----w
t. v. l
t. van c
t. v
tuus inimicus
tutty
tuting
tusser
tuson
ṭūsī
turvell
turst
turpin de crissé
turnour
turnough
turnet
turnbul
turler
turing
turgot
turges
turford
turc
tupman
tuomy
tunnestrick
tully in the shades
tulloh
tullideph
tuke
ṭughrāʼī
tuedius
tudway
tuckney
tuck-bed
tubbe
t. t
t-- s--y
t. s. o. r
t---shend
tschudi
tschink
tscherning
t. s
tryton
tryphiodorus
tryon-county freeholder
trye
truxtun
truth writer
truth
truswell
trustees for establishing the colony of georgia in america
trustee
trustaff
trusswell
trusdell
trumbill
truly loyal subject
truly impartial hand
truhearted englishman
true son of the protestant church of england
true son of the church of england established by law
true son of the church of england
true son of the church
true son of the catholick apostolick church
true scotchman and lover of his country
truer protestant
true protestant of the church of england
true protestant english gentleman
true protestant and english man
true protestant
true penitent
true mourner in and for sion
true member of the church of england
true loyall subject and lover of the parliament
true loyalist
true lover to the peace and wellfare of his countrey
true lover of truth and justice
true lover of the queen and country
true lover of the protestant religion and english loyalty
true lover of the protestant religion
true lover of the people
true lover of the orthodox clergie
true lover of the monarchy and church of england
true lover of the constitution
true lover of the church and country
true lover of the church
true lover of queen and country
true lover of our happy constitution both in church and state
true lover of moderation
true lover of his vertues
true lover of his nation
true lover of his king and country
true lover of his king
true lover of his country
true lover of his countrey and the present government
true lover of his countrey
true lover of god and king charles
true lover both of god
true-hearted well-wisher to great brittanes happinesse
true-hearted briton
true friend to the publique interest
true friend to the publike interest
true friend to the publike english interest
true friend to the gentle craft
true friend and lover of those powers and magistrates that be of god
true englishman without disguise
true englishman of no party
true englishman
true commonwealths-man
true brother of the faithful
truebottom
true born englishman and lover of his country
trueborn englishman
true-born englishman
true-blue presbyterian
trueblue
true bleu
true berean
true believer
true anti-gallican
true and sincere member of the church of england
true admirer of the queen
trublet
troward
troutbeck
troutback
troughear
troublewater
troubadour
trot
trosse
tronson du coudray
tronchin
troltar
trollop
trollap
trokelowe
troil
trogus pompeius
triton
trithemius
trist
trissino
tripe
trip
trinity college university of cambridge)
trimlestown
trigland
trifler
tribunus populi
tribunus
tribune
tribbechov
tr-i
treyssac de vergy
trewman
trevigar
trevethick
trevers
trevelyan
trevanion
tréval
trev.
treuvé
tretʹi︠a︡kov
treswell
tressan
trescot
treppass
treplecock
trendle
trenchfield
tren
tremoille
tremlett
tremenheere
tremellins]
trelcatius
treitorrens
treffry
trecothick
trebull
treble
trebeck
treatise
treacher
t. r. de l
tr-ch-z-n
tray
travestin
traversanus
traversagni
travelling tutor
traveller through holland
traveller of distinction
traveller.]
traveller
travell
traske
trapwit
trapnel
trapham
transmigratus
translator of the effects of the passions
transformed church-warden
tranquilla
trampon
traherne
traffick
traetta
tradesman that delights in books
tradesman of the city
tradesman in norfolk
tradesman
tradescant
tracy of rathcoole
t. r.
t. r
t----r
t. p
toxander
townsman
townly
townesend
towneley
towndrow
town-clerk of perth
towerson
towart
toustain de richebourg
tourneur
tourner
tournay
toupee
toup
toung
touchwood
touchit
touchett
totton
tottie
tothill
tossanus
tosier
toshach
tosetti
tory freeholder
tortello
torsellino
torriano
torre di rezzonico
torquemada
torporley
torphichen
tord
torcy
torbuck
topsell
toppe
toplis
tootell]
tootell
toosey
tooly
tookie
tookey
took
toogood
tonstall
tonson
tons
tonioli
tom the first
tomp--n
tompion
tommas
tomlyns
tomlyn
tomlins
tomkys
tomkyns
tomkis
tomkinson
tomkies
tolver
tolomei
tollet
tolfrey
tolet
toldervy
told
toke
tofield
tode
tocquot
t. o
t. n
t. m. k
t. m
t. l. w
t. l
t.l
t. k
t. j. u
t. j
titmouse
titmore
titi
tithepig
titford
tissington
tisser
tireman
tipu sultan
tipper
tiphaigne de la roche
tinwell
tinwald
tinning
tinclarian doctor
tinclairan doctor
tincker
timur
timotheus philo-bookerus
timotheus
timorcus
timewell
time
timbury
timberland
timanthus
tilney
tilloch
tillet
tillesley
tillary
tilestone
tiler
tilenus
tilburg
tilborgh
tijou
tifaut de la noue
tiessen
tielke
tide-waiter
tidcombe
ticwhit
tickleside
tickler
ticklepitcher
ticklehim
ticklecheek
tichbourne
tibullus
tiberius gracchus
tibal
t. i
thynne
thwing
thurlin
thurlbourn
thuillier
throp
threlfal
three coxwold scholars
thousands
thoughtless
thoughtful
thory
thorowgood
thorough-work
thornycroft
thornely
thorkelin
thorius
thorisby
thorild
thorie
thoresby
thorel de campigneulles
thor.
thongerloo or tongherloo
thomsonn
thomond
thomé de jesus
thomasset
thomas haemmerlein]
thomas busy body
thomas a kempis
tho lunatic
thököly
th-- m--
thiville
thistlethwaite
thiroux d'arconville
thirlwall
thirkeld
thimelthorpe
thiard de bissy
theyer
thevet
thévenot
thévenot
théveneau de morande
théveneau de morande
theveneau
thersites
thermopilae
theosebes
theophylactus
theophrastus
theophilos
theophila
theologus
theognis
theodulus
theodosius
theodosia
theodoret
theocrat
themylthorpe
themylthorp
thelwall
theloall
thellusson
theed
t. h. d
thayre
thanet
thames and severn canal navigation
thaddaeus
thachame
t. h
t. g
t. f
teynham
tewkesbury
teuton
teush
testelin
testas
tessin
t. e. sportarivs
tesdale
tersteegen
terrot
terrasson
terrafilius
terrae-filius
terne
terilo
ter-horst
teresia
teres
terentius
terence
terbie
teratopaeus
teramano
tennoch
tenent
tenducci
tendring
tende
tencin
tenche
templo
templar
temperance man and voter
tempelhoff
temoin oculair
teltruth
teltroth
tell-truth
telltroth
tell troath
telin
telesio
telescope
teissier
teft
teellinck
teede
technicum
tebbett
tebb
teazle
teate
teale
teakel
teague o dively
teacle
teachwell
teach'em
teachem
teacham
t. e.]
t. e----
t. e
t. d. m
t. d
t.c.d
t. c
t. b
tazwell
taylour
tayleur
tawse
taveau
tauvry
tauler
taubmann
tattle-well
tattler
tattle
tattersal
tatian
tatersal
tassi
tasburgh
tartsalus
tartini
tarillon
target
tarczali
tarchi
tar-barrel
tapwell
taprell
tappenden
tapner
taperell
tantarobobus
tansúr
tans'ur
tansillo
tanny
tankerville
tancred
tam o'linn
talpin
talleyrand-périgord
talleyrand-périgord
tallemant
talêus
talboys
talbor
taisnier
tailzier
tailyour
tailour
tailer
taḣsīn al-dīn
tag-rag of the sacred nine
taffin
tachmonite
tachenius
tachard
tablet
table
taas
t. a
t.
szilágyi
szekelyhidi
synesius
syms
symondson
symond
symmer
syme
sym
syllogism
syle
sylburg
syeds
sydserff
sybthorpe
swynock
swynnerton
sworder
switerda
swinnerton
swinhow
swinhoe
swinfield
swinfen
swinden
swift-sight
swieten
sw-ft
swetenham
sweft
sweetnam
sweeper
swedish officer
swediaur
swediauer
swedenborg
swanwick
swanne
swanie
swammerdam
swall
swale
swainson
swaffield
swadon
swaddling john
suxspeach
suttor
susenbrotus
susanna
surr
surly
surgeon of the royal navy
supposed quaker
superville
sun-fire-office]
sundry followers of the truth in love
summersett
sulpitius verulanus
sulpitius
sullivane
sulaymān al-tājir
suidas
suger
sugar planter
suffren
suffolk gentleman
suffolk freeholder
suffolk clergyman
suffolk
suffering member of the afflicted church of scotland
suffering loyal subject
sudley
sudell
suckerman
suchten
succoth
subscriber to the york lunatic asylum
subscriber and well-wisher to the bank
subscriber and a churchman
subscriber
subligny
subject to mithridates
suárez
suability
styward
stydolf
stutter
sturt
sturmy
sturgion
stupid
stukeley
stuebel
studious enquirer into the mysteries of nature
studiosus
studholme
student of trinity college
student of the university of cambridge
student of the middle temple
student of the laws of england
student of the law in the inner temple
student of the inner temple
student of physick in edinburgh
student of physick at edinburgh
student of lincoln's-inn
student of gray's inn
student of divinity
student in the said art
student in the laws of england
student in the coelestial sciences
student in politics
student in a college in this state
student in aberdeen
student at oxford
stucley
stuckley
stuartophilus
st. serfe
st. s
struther
st. ruth
stronge
strongcastle
strof
strodtman
strigel
strichen
striblehill
strephon
strengfellow
streete
streatt
streatfield
strean
stratioticus
stration
strathmore and kinghorne
strathmore
strasburgh
strap bodkin
strangford
strangehopes
straith
straightforward
strahlenberg
st. quentin
st. pierre
st. paul
stowel
stovin
stovey
stoutenburgh
stourton
st. ours
stouppe
stot
storry
stormonth
störck
störck
storace
stopford
stopes
stooke
stonor
stonhouse
stonham
stonehill
stona
stolterfoht
stokoe
stogdon
stoever
stoddon
stockwood
stockhwilliam
stockhore
stockell william
stockell
stockden
stockall
st. nichlas
stmitrk
st. lo
st. leger de bacalan
st. leger
st. lawrence
st. john de crèvecoeur
st. john de crèvecoeur
st. john
stisted
stirtevant
stirry
stirredge
stirne
stint
stinnet
sting-pickle
stimpelius
stiegel
stidson
sticotti
stickfast
stibbert
st. george
steynor
stevin
stevenston
steuben
sterrop
sternhold
sterne
sterck
steple
stephins
stephanus scriblerus
steno
stenhouse
steinhaur
steingenius
steill
steight
stehelin
steggles
steffe
steevens
steers
steell
stedfast member of the church of england
steddy
ste. b
steavenson
steady proprietor
st. clare
st. clair
staynred
staynoe
stayley
stavorinus
staveley
staunford
staughton
statute
statius
state lunatick
starrat
staresmore
staphylus
staphorst
stanzani
stanyhurst
stanyford
stanwix
stanser
stannup
stanney
stanners
stanistreet
standsfield
st. andré
standfast
stander-by
stanbridge
stampiglia
stampa
stammers
stamma
st. amand
stalkartt
stalham
st. albyn
st. albans
stainton
stainsby
stainforth
staggins
staël
staehlin
stables
stabback
s----t
srenock
squirrell
squintum
squib
squallini
spy
spurstowe
spurrell
spur
sproson
sprint
springitt
sprightly
spreull
sprange
sprackling
spottiswoode
spotswood
spitalfields weaver
spirit of contradiction
spinkes
spinke
spinedge
spindleshanks
spinckes
spinage
spiltimber
spilsbury
spilling
spierin
sphyractes
sp-ger
spens
spener
speght
speede
speechly
spedding
speculum
spectator of the proceedings at the hall
spavold
spavens
spavan
spauter
spateman
sparrman
sparhawke
sparham
spanish merchant at amsterdam
spanish language
spanish gentleman in philadelphia
spaniard in london
spallanzani
spagnuoli
spadin
spademan
sözinger
soyres
soycourt
sowernam
souverain
southwark london
southmead
southland
southerton
southcomb
southaick
souterius
soutar
soursby
sourcesol
souligné
soulies
souches
souburg
soub
sotheran
sotheby
sorocold
sorbière
sophronius
sophronikos
sophronia
sophie amalie
sophia charlotte
sophia
son of the true church
son of the church of england
son of the church
son of st. patrick
son of freedom
sonnini
sonnerat
sonnenfels
sonmans
sonibancke
songhurst
s--------on
somnambulus
sommervell
sommervail
sommersett
sommerland
somis
somervill
somervel
somebody
solvyns
solus
solomon the second
solleysel
solinus
solin
solier
solicitor of tithes]
solicitor of the said courts
soldier who was in the engagement
solander
soilleux
sogineancʿ
sofford
soffley
socrates
socio
socinus
society of the free british fishery
society of master carpenters london
society of jolly fellows
society of gentlemen
society of friends. philadelphia yearly meeting. meeting for sufferings
society of antiquaries of london
society of anatomists
society in scotland for propagating christian knowledge
society for promoting the knowledge of the scriptures
society for preserving liberty and property against republicans and levellers. association papers
socburgh
sobry
sober stander-by
sobersides
soave
soane
snowden]
snob
snip
sneyd
snelgrave
snawsel
snatt
snashall
snap-shorto-de testy
snake
snagg
smyton
smythson
smythies
smut
smoult
smollet
smoke'em
smith reinold
smithies
smirke
smilewell
śmiglecki
śmiglecki
smiglecki
smibert
smeton
smethwike
smethurst
smetham
smet
smelt
smelly
smellie
smel-knave
smeeton
smectymnuus
smeaton
smeathman
smarden
smalwood
smalpage
smallwell
smalle
smalbroke
smaill
smackum
slynehead
slyboots
slow
sloper
slocock
slinn
slezer
slenderwit
sleidan
sleech
sleath
sleater
s------le
slaughterford
slator
slatius
slatholm
slashthem
slare
slammekin
sladen
sladdin
slacke
skyrm
skynner
skurray
skrimshire
skory
skirving
skipwith
skipp
skinn
skingle
skin
skeyne
skey
skewball
skepp
skeldie
skeeler
skeats
skeat
skarum
skaife
sixtus iv
sixtus
sixmith
sitwell
siston
sister peg
sirigatti
sir francis walsingham's ghost
siret
sirectus
sir andrew freeport's eldest son
sintelaer
sinnich
sinner sav'd to be an heir of heaven
s----ini
sinful sally
sinfrey de villiers
sinclare
sincerus
sincere well-wisher to the trade and prosperity of the nation
sincere well-wisher to the old protestant religion
sincere well-wisher to the honour and interest of his country
sincere well-wisher to the commerce and liberty of britain
sincere wellwisher to our happy constitution in church and state
sincere well-wisher of the protestant interest
sincere well-wisher of the church of christ in scotland
sincere well-wisher of his country
sincere unbiassed protestant
sincere protestant and true friend to his countrey
sincere protestant
sincere mourner
sincere member of the church of england
sincere lover of what is pleasant and diverting
sincere lover of truth and peace
sincere lover of truth
sincere lover of the whole human race
sincere lover of the protestant religion
sincere lover of the commonwealth
sincere lover of the church of scotland
sincere lover of the christian community
sincere lover of his prince and country
sincere lover of his country
sincere friend to the true religion of jesus christ
sincere friend to the church's peace
sincere friend to humanity
sincere friend to both countries
sincere friend of theirs
sincere friend of his country
sincere and hearty lover of his queen and country
sincere advocate for the doctrine of christ
simpson]
simplex
simpkinson
simotta
simmie
simiana
simēon
simcockes
silvani
sils
silly
sillar
silius italicus
silex
silesio
silent senator
signora f----a
sigfrid
sigaud de la fond
sieyès
sievwright
siemienowicz
siegvolck
siebenkees
sidway
siderfin
sibyllarum icones
sibthorp
sibscota
sibié
sibersma
sibelius
sibbit
sibbes
shylock
shuttlewood
shuttle
shuckburgh-evelyn
shuckburgh
shrimpton
shovell
shotterel
shortreid
shortreed
shorthose
shortess
shortall
shoreditch
shop-keeper in dublin
shop-keeper
shopkeeper
shone ap morgan ap shenkin ap howell
sh-------n
shirtcliffe
shirt
shirrefs
shirreff
shirra
shirmer
shireburne
shillitoe
shifner
shiercliff
shiells
shiell
shewring
shewen
shewell
shevington
shevill
sherwill
sherwen
shervington
sherrington
shergold
sherbrooke
sheraton
shepreve
sheppey
shepherd's kalendar
shenstone
shenkin ap morgan
shemajah
shelvocke
shelford
sheldrake
sheffeild
sheering
sheeres
sheepey
sheeles
sheehen
shee
sheddan
shearerd
sheardown
sheafe
shauley
sharpin
sharpham
sharpeigh
shapter
shanhagan
shangar
sham-scribler
shallett
shaller
shales
shalcross
shakerley
shakelton
shafton
shafte
shaen
sh.
s------ge j----o
seyssel
seymar
seyfridt
sextus
sewers
sevill
sévigné
severus alexander
severus
several well-wishers to our settlement
several eminent divines
several able pilots and coasters
seuse
setechi
sestini
servitour of the university of oxford
serviez
serviés
servetus
servant of the company
servant of the common wealth of england
servant of his late highness
servant of christ in the work of his gospel
serrurier
serpaud
serlio
serjeant-major of gen. hopson's grenadiers
serjeant
serious welwisher to the peace of jerusalem
serious person of quality
serious observer
serious divine
serious and impartial well-wisher to the prosperity of both nations
seriman
sergardi
serenius
serces
seran de la tour
sepúlveda
seppens
sepp
sennet
sennerts
sennert
senned
senhouse
senex
senesino
sendall
senault
senator of the united states
sénac de meilhan
semphill
semper anonimus
semeins
selwyn
selwood
selwin
sellwood
