author_name	author_birth	author_death	Count
Wesley, John	NA	NA	1195
Shakespeare, William	NA	NA	1071
Defoe, Daniel	NA	NA	1040
Watts, Isaac	NA	NA	 772
Swift, Jonathan	NA	NA	 748
Pope, Alexander	NA	NA	 647
Bunyan, John	NA	NA	 642
Voltaire	NA	NA	 637
Christie	NA	NA	 616
Dryden, John	NA	NA	 546
Goldsmith, Oliver	NA	NA	 529
Milton, John	NA	NA	 520
Young, Edward	NA	NA	 490
Mather, Cotton	NA	NA	 482
Baxter, Richard	NA	NA	 474
Gay, John	NA	NA	 465
Whitefield, George	NA	NA	 454
Lily, William	NA	NA	 449
More, Hannah	NA	NA	 441
Burnet, Gilbert	NA	NA	 436
Paine, Thomas	NA	NA	 430
Fox, George	NA	NA	 425
Ovid	NA	NA	 414
Johnson, Samuel	NA	NA	 413
Cicero, Marcus Tullius	NA	NA	 405
Ward, Edward	NA	NA	 399
Taylor, John	NA	NA	 398
Fielding, Henry	NA	NA	 395
Thomson, James	NA	NA	 390
Dodsley, Robert	NA	NA	 362
Allestree, Richard	NA	NA	 360
Cibber, Colley	NA	NA	 348
Addison, Joseph	NA	NA	 347
Penn, William	NA	NA	 343
Smith, William	NA	NA	 339
Sterne, Laurence	NA	NA	 334
Priestley, Joseph	NA	NA	 326
Horace	NA	NA	 321
Ramsay, Allan	NA	NA	 313
Rowe, Nicholas	NA	NA	 311
Brown, John	NA	NA	 307
Prynne, William	NA	NA	 298
O'keeffe, John	NA	NA	 293
Farquhar, George	NA	NA	 292
Erasmus, Desiderius	NA	NA	 289
Steele, Richard	NA	NA	 288
Garrick, David	NA	NA	 286
Virgil	NA	NA	 285
Dibdin, Charles	NA	NA	 283
Tillotson, John	NA	NA	 279
Hervey, James	NA	NA	 274
Pindar, Peter	NA	NA	 273
Aesop	NA	NA	 273
Bickerstaff, Isaac	NA	NA	 273
Congreve, William	NA	NA	 270
Sherlock, William	NA	NA	 269
Synge, Edward	NA	NA	 265
Burke, Edmund	NA	NA	 261
Owen, John	NA	NA	 259
Hall, Joseph	NA	NA	 255
Lady	NA	NA	 249
Cennick, John	NA	NA	 247
Hill, John	NA	NA	 246
Gibson, Edmund	NA	NA	 237
Doddridge, Philip	NA	NA	 235
Perkins, William	NA	NA	 234
Taylor, Jeremy	NA	NA	 232
Colman, George	NA	NA	 232
Smollett, Tobias George	NA	NA	 232
Leslie, Charles	NA	NA	 231
Erskine, Ralph	NA	NA	 228
Woodward, Josiah	NA	NA	 228
Hoadly, Benjamin	NA	NA	 228
Otway, Thomas	NA	NA	 225
Homer	NA	NA	 223
Smith, John	NA	NA	 220
Kotzebue, August Von	NA	NA	 220
Jones, William	NA	NA	 215
Patrick, Simon	NA	NA	 214
Law, William	NA	NA	 212
Cumberland, Richard	NA	NA	 211
Beveridge, William	NA	NA	 208
Whittington, Robert	NA	NA	 204
Boston, Thomas	NA	NA	 204
Locke, John	NA	NA	 201
Clarke, Samuel	NA	NA	 200
Bacon, Francis	NA	NA	 199
James	NA	NA	 198
Fénelon, François De Salignac De La Mothe-	NA	NA	 195
Partridge, John	NA	NA	 194
Willison, John	NA	NA	 194
Foote, Samuel	NA	NA	 194
Winstanley, William	NA	NA	 193
Settle, Elkanah	NA	NA	 191
King, William	NA	NA	 191
Sheridan, Richard Brinsley	NA	NA	 190
Richardson, Samuel	NA	NA	 189
Wilson, Thomas	NA	NA	 188
Henry, Matthew	NA	NA	 186
Mason, William	NA	NA	 186
D'urfey, Thomas	NA	NA	 185
Fletcher, John	NA	NA	 185
Smith, Samuel	NA	NA	 182
Markham, Gervase	NA	NA	 181
Haywood, Eliza Fowler	NA	NA	 181
L'estrange, Roger	NA	NA	 179
Smith, Henry	NA	NA	 176
Flavel, John	NA	NA	 175
Dilworth, Thomas	NA	NA	 175
Hume, David	NA	NA	 175
Watson, Richard	NA	NA	 174
Hammond, Henry	NA	NA	 173
Williams, John	NA	NA	 173
Deloney, Thomas	NA	NA	 173
Chesterfield, Philip Dormer Stanhope	NA	NA	 172
Centlivre, Susanna	NA	NA	 172
Mather, Increase	NA	NA	 171
Ussher, James	NA	NA	 171
Cobbett, William	NA	NA	 171
Coke, Edward	NA	NA	 170
Terence	NA	NA	 168
Boyer, Abel	NA	NA	 168
Murphy, Arthur	NA	NA	 168
Quarles, Francis	NA	NA	 167
Lee, Nathaniel	NA	NA	 166
Cordier, Mathurin	NA	NA	 165
Sherlock, Thomas	NA	NA	 165
Edwards, Jonathan	NA	NA	 164
Carey, Henry	NA	NA	 164
Bolingbroke, Henry St. John	NA	NA	 164
Rider, Cardanus	NA	NA	 163
Gordon, Thomas	NA	NA	 162
Franklin, Benjamin	NA	NA	 161
Fenning, Daniel	NA	NA	 161
Culpeper, Nicholas	NA	NA	 160
Keith, George	NA	NA	 159
Stillingfleet, Edward	NA	NA	 158
Taylor, Thomas	NA	NA	 158
Camden, William	NA	NA	 157
Beaumont, Francis	NA	NA	 156
Cowper, William	NA	NA	 156
Wither, George	NA	NA	 154
Keach, Benjamin	NA	NA	 154
Rowe, Elizabeth Singer	NA	NA	 154
Stanbridge, John	NA	NA	 153
Webster, Noah	NA	NA	 153
Robertson, William	NA	NA	 151
Person Of Quality	NA	NA	 151
Saunders, Richard	NA	NA	 150
Fleetwood, William	NA	NA	 150
Boyle, Robert	NA	NA	 150
Newton, John	NA	NA	 150
Sharp, John	NA	NA	 149
Hale, Matthew	NA	NA	 148
Salmon, Thomas	NA	NA	 148
Nelson, Robert	NA	NA	 147
Whiston, William	NA	NA	 147
Lilburne, John	NA	NA	 146
White, John	NA	NA	 146
Gother, John	NA	NA	 145
Butler, Samuel	NA	NA	 143
Johnson, Richard	NA	NA	 143
Trusler, John	NA	NA	 142
Vickers, William	NA	NA	 142
Moore, John	NA	NA	 140
Scott, John	NA	NA	 140
Dodd, William	NA	NA	 140
Gray, Thomas	NA	NA	 140
