original	polished	Count
Total count (na.rm TRUE): 	9425	
S.n.	S.n	81
printed for Harrison and Co.	printed for Harrison and Co	69
printed for D.M.	printed for D.M	60
printed for R.W.	printed for R.W	38
printed by J. Chalmers and Co.	printed by J. Chalmers and Co	35
printed by the heirs and successors of Andrew Anderson, anno Dom.	printed by the heirs and successors of Andrew Anderson, anno Dom	35
Printed by the heir of Andrew Anderson ...	Printed by the heir of Andrew Anderson	32
printed by W. Bulmer and Co.	printed by W. Bulmer and Co	28
Printed by John Field ..	Printed by John Field	25
s. n.	s. n	24
printed by the heir of Andrew Anderson ...	printed by the heir of Andrew Anderson	24
Printed by John Hayes ..	Printed by John Hayes	24
Printed for D.M.	Printed for D.M	24
printed for R.G.	printed for R.G	24
printed for D[avid]. M[allet].	printed for D[avid]. M[allet]	23
printed for J.S.	printed for J.S	22
Printed by Benjamin Tooke .. and are to be sold by Joseph Wilde ..	Printed by Benjamin Tooke .. and are to be sold by Joseph Wilde	21
printed for L.C.	printed for L.C	21
Printed by John Crook .. and are to be sold by Samuel Dancer ..	Printed by John Crook .. and are to be sold by Samuel Dancer	20
printed by J.C.	printed by J.C	20
Printed and sold in London.	Printed and sold in London	19
Printed by Samuel Roycroft ..	Printed by Samuel Roycroft	18
Entered according to order.	Entered according to order	17
By Leonard Lichfield ..	By Leonard Lichfield	17
f. the Co. of Statrs.	f. the Co. of Statrs	16
n.s.	n.s	16
printed by B.A.	printed by B.A	16
printed by J. Chalmers & Co.	printed by J. Chalmers & Co	15
printed by T. Dicey and Co.	printed by T. Dicey and Co	15
Printed by the heirs and successors of Andrew Anderson ...	Printed by the heirs and successors of Andrew Anderson	14
printed for G.H.	printed for G.H	14
printed for J.B.	printed for J.B	14
printed by J.M.	printed by J.M	14
Printed by Samuel Green.	Printed by Samuel Green	13
Printed and sold by John Marshall, ... London; and may be had of the booksellers, newsmen, and hawkers, in town and country.	Printed and sold by John Marshall, ... London; and may be had of the booksellers, newsmen, and hawkers, in town and country	13
Printed for Tho. Parkhurst ..	Printed for Tho. Parkhurst	13
printed for T.B.	printed for T.B	13
printed for L[angley]. C[urtis].	printed for L[angley]. C[urtis]	13
s.l.	s.l	13
Sold by J. Marshall, ... and R. White, ... London. By S. Hazard, at Bath; and by all booksellers, newsmen, and hawkers, in town and country.	Sold by J. Marshall, ... and R. White, ... London. By S. Hazard, at Bath; and by all booksellers, newsmen, and hawkers, in town and country	12
By Leonard Lichfield ...	By Leonard Lichfield	12
printed for H.B.	printed for H.B	12
printed by R.W.	printed by R.W	12
printed for A.B.	printed for A.B	12
Printed by W. Bulmer and Co.	Printed by W. Bulmer and Co	12
Licensed and entered according to order.	Licensed and entered according to order	11
printed by R.D.	printed by R.D	11
printed for R.B.	printed for R.B	11
printed for T.P.	printed for T.P	11
Printed by Bartholomew Green, and John Allen, printers to the governour and Council.	Printed by Bartholomew Green, and John Allen, printers to the governour and Council	10
printed by William Sleater, sen. and jun.	printed by William Sleater, sen. and jun	10
Printed by Andrew Clark ..	Printed by Andrew Clark	10
Printed for T.B.	Printed for T.B	10
Printed by B.A.	Printed by B.A	10
