name	gender	count
NA	NA	32049
john	male	2646
william	male	1742
thomas	male	1338
richard	male	586
george	male	544
james	male	541
robert	male	536
edward	male	397
henry	male	368
samuel	male	320
joseph	male	265
charles	male	254
francis	male	237
david	male	228
edmund	male	221
oliver	male	188
daniel	male	178
benjamin	male	139
gilbert	male	134
peter	male	133
alexander	male	127
roger	male	110
nathaniel	male	107
philip	male	103
hugh	male	89
isaac	male	85
jonathan	male	83
flavius	male	82
matthew	male	76
j	NA	73
laurence	male	69
edward hyde	male	64
clement	male	64
anthony	male	63
giovanni paolo	male	62
arthur	male	60
r	NA	57
stephen	male	56
christopher	male	56
andrew	male	56
julius	male	55
walter	male	53
humphrey	male	53
nicholas	male	50
ralph	male	46
josiah	male	45
d	NA	45
cornelius	male	45
michael	male	44
thomas wentworth	male	42
henry st john	male	41
lucius annaeus	male	39
n	NA	37
paul	male	36
patrick	male	36
abel	male	35
jean	female	34
adam	male	34
archibald	male	30
mary	female	29
ferdinando	male	29
w	NA	28
simon	male	27
robert goodloe	male	27
robert devereux	male	27
pierre	male	27
nicolas	male	27
george monck	male	27
louis	male	26
eleanor	female	26
cotton	male	26
t	NA	25
jacob	male	25
hugo	male	25
denzil	male	25
abraham	male	25
marchamont	NA	24
françois	male	24
francis d'	male	24
lewis	male	23
maurice	male	22
joshua	male	22
john fitzgibbon	male	22
jeremiah	male	22
israel	male	22
elizabeth	female	22
titus	male	21
thomas lewis	male	21
luke	male	21
jeremy	male	21
jacques	male	21
silius	NA	20
martin	male	20
helen maria	female	20
tobias george	male	19
paolo	male	19
james butler	male	19
h	NA	19
john hamilton	male	18
jean de	female	18
george savile	male	18
george digby	male	18
charles-françois du périer	NA	18
white	male	17
timothy	male	17
pierre mathurin de	male	17
john thompson	male	17
friedrich	male	17
claude	male	17
archibald campbell	male	17
warren	male	16
theophilus	male	16
sébastien	male	16
guillaume de salluste	male	16
gabriel-honoré de riquetti	NA	16
francesco	male	16
elinor	female	16
william cavendish	male	15
jonas	male	15
johannes	male	15
gabriel	male	15
charles de secondat	male	15
charles alexandre de	male	15
audley	male	15
temple	female	14
michel	male	14
mary white	female	14
margaret	female	14
jean-paul	NA	14
william eden	male	13
william augustus	male	13
vincent	male	13
slingsby	NA	13
philippe de	male	13
nathanael	male	13
murrough o'brien	male	13
jean-gabriel	NA	13
george mackenzie	male	13
edward montagu	male	13
ebenezer	male	13
aaron	male	13
thomas osborne	male	12
robert rich	male	12
payne	male	12
lionel	male	12
jean-baptiste	male	12
henri	male	12
frances	female	12
elisha	female	12
dudley	male	12
soame	NA	11
matthias	male	11
m	NA	11
louis ellies	male	11
gryffith	NA	11
gatien	NA	11
galeazzo	NA	11
ethan	male	11
c	NA	11
william henry	male	10
william cusack	male	10
william cecil	male	10
w h	NA	10
valentine	male	10
rowland	male	10
niccolò	male	10
nathan	male	10
matthew robinson-morris	male	10
mathias	male	10
joel	male	10
h h	NA	10
gregorio	male	10
g	NA	10
conyers	NA	10
catharine	female	10
bulstrode	NA	10
bevill	NA	10
anthony ashley cooper	male	10
ambrose	male	10
zachary	male	9
simon nicolas henri	male	9
sarah churchill	female	9
raoul	male	9
quintus	male	9
pasquin	NA	9
p	NA	9
marmaduke	male	9
john digby	male	9
johann caspar	male	9
james stanley	male	9
james graham	male	9
horace	male	9
herbert	male	9
harbottle	NA	9
giles	male	9
edward russell	male	9
e	NA	9
de	NA	9
charles john ann	male	9
calybute	NA	9
bruno	male	9
browne	NA	9
antoine	male	9
simonds	NA	8
philip morin	male	8
o	NA	8
marcus junianus	male	8
l	NA	8
james thomson	male	8
j z	NA	8
ira	male	8
henry home	male	8
gilbert elliot	male	8
gerard	male	8
george villiers	male	8
fabian	male	8
edmond	male	8
delariviere	NA	8
charles kendal	male	8
caleb	male	8
bartholomew	male	8
antonio de	male	8
anna	female	8
trophime-gérard	NA	7
tristram	male	7
silas	male	7
sarah	female	7
raphael	male	7
polydore	NA	7
pier giovanni	female	7
nathaniel william	male	7
louis de	male	7
john sheffield	male	7
john holroyd	male	7
john dalrymple	male	7
joan	female	7
jean-antoine-nicolas de caritat	NA	7
jean pierre	female	7
james edward	male	7
ignatius	male	7
henry dundas	male	7
guido	male	7
giuseppe	male	7
friedrich hermann	male	7
françois	NA	7
ezekias	male	7
ephraim	male	7
ellis	male	7
elkanah	male	7
eliza fowler	female	7
edward somerset	male	7
duncan	male	7
donald	male	7
bryan	male	7
brian	male	7
balthazar	male	7
arthur annesley	male	7
anne	female	7
alessandro	male	7
william alexander	male	6
wentworth dillon	male	6
vicesimus	NA	6
thomas bradbury	male	6
shute	NA	6
roger palmer	male	6
robert treat	male	6
pelatiah	NA	6
nahum	male	6
marcus tullius	male	6
lancelot	male	6
john huddlestone	male	6
johann jakob	male	6
johann georg	male	6
james douglas	male	6
herman	male	6
